dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
IONOSPHERE,classf,brkga,0,3,0.5492128190879646,0.13564197855538493,-0.52789,57.59,20,0
IONOSPHERE,classf,brkga,1,3,0.5437723203735578,0.13608064889246435,-0.52342,51.43,20,0
IONOSPHERE,classf,brkga,2,3,0.5672921997867026,0.1492248394626497,-0.52994,58.58,20,0
IONOSPHERE,classf,brkga,3,4,0.49499717548067584,0.11604245729490181,-0.504103,57.99,20,0
IONOSPHERE,classf,brkga,4,3,0.5506851287973181,0.13565618259715104,-0.519789,51.67,20,0
IONOSPHERE,classf,brkga,5,3,0.5270689999999334,0.15016364289248058,-0.516376,27.32,20,0
IONOSPHERE,classf,brkga,6,3,0.5481778941226618,0.13410671347930153,-0.521052,60.63,20,0
IONOSPHERE,classf,brkga,7,3,0.5518872226486593,0.14962490200693632,-0.524383,59.43,20,0
IONOSPHERE,classf,brkga,8,3,0.537026414089726,0.13970951001566068,-0.516953,54.81,20,0
IONOSPHERE,classf,brkga,9,3,0.5488311836265805,0.13010278239202658,-0.519152,60.55,20,0
IONOSPHERE,classf,brkga,10,3,0.553940725400922,0.1404040789213362,-0.532427,32.24,20,0
IONOSPHERE,classf,brkga,11,3,0.5449298959384009,0.11693143866863188,-0.518159,53.26,20,0
IONOSPHERE,classf,brkga,12,4,0.43695538578670057,0.1657509337537207,-0.516866,61.79,20,0
IONOSPHERE,classf,brkga,13,4,0.5248292722067475,0.15243023473470188,-0.52038,62.12,20,0
IONOSPHERE,classf,brkga,14,3,0.5468749419015787,0.15442238148414103,-0.524738,40.85,20,0
IONOSPHERE,classf,brkga,15,3,0.5519848788172393,0.15607725122019717,-0.506664,57.29,20,0
IONOSPHERE,classf,brkga,16,3,0.544656372454561,0.1379640569420069,-0.525208,55.21,20,0
IONOSPHERE,classf,brkga,17,3,0.54850472286508,0.16088004072315898,-0.510977,55.32,20,0
IONOSPHERE,classf,brkga,18,3,0.5491338288757937,0.13871340265080995,-0.53011,28.4,20,0
IONOSPHERE,classf,brkga,19,3,0.5605299632171874,0.13804452972323708,-0.535445,25.1,20,0
