dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
IONOSPHERE,classf,ils,0,3,0.5612545058810443,0.13480640883393544,-0.541522,27.76,20,0
IONOSPHERE,classf,ils,1,3,0.5726048326809617,0.14055832687838885,-0.545779,37.74,20,0
IONOSPHERE,classf,ils,2,3,0.5655098723851967,0.14683285351637287,-0.533428,57.67,20,0
IONOSPHERE,classf,ils,3,3,0.5578016431890158,0.13949896012711238,-0.53729,32.08,20,0
IONOSPHERE,classf,ils,4,3,0.5636706444898139,0.1456481059702013,-0.544342,52.53,20,0
IONOSPHERE,classf,ils,5,4,0.5289150986088317,0.11922354900378829,-0.56597,55.21,20,0
IONOSPHERE,classf,ils,6,3,0.5796345107191041,0.15001108348936185,-0.557014,41.05,20,0
IONOSPHERE,classf,ils,7,3,0.5582164903271127,0.1282105743670646,-0.532181,36.89,20,0
IONOSPHERE,classf,ils,8,3,0.5663394286080019,0.13822696915582222,-0.549533,48.99,20,0
IONOSPHERE,classf,ils,9,3,0.5779369484845305,0.15488320692159344,-0.549365,21.7,20,0
IONOSPHERE,classf,ils,10,4,0.43460909343280396,0.25070621656735276,-0.500973,60.38,20,0
IONOSPHERE,classf,ils,11,4,0.5298031003145521,0.13398192391320826,-0.535071,56.25,20,0
IONOSPHERE,classf,ils,12,4,0.4546195650985764,0.13110073909164194,-0.568615,51.41,20,0
IONOSPHERE,classf,ils,13,3,0.5626467938431763,0.16245598079720244,-0.531304,62.27,20,0
IONOSPHERE,classf,ils,14,3,0.5482389409341535,0.1662464111820292,-0.525221,49.83,20,0
IONOSPHERE,classf,ils,15,4,0.44393445827951694,0.05367437263187895,-0.520476,55.66,20,0
IONOSPHERE,classf,ils,16,3,0.5609963025193467,0.12395766677897282,-0.534514,26.69,20,0
IONOSPHERE,classf,ils,17,3,0.5452604271048236,0.13352903853078957,-0.523454,55.26,20,0
IONOSPHERE,classf,ils,18,3,0.5765101385034302,0.1451344217858276,-0.553352,27.26,20,0
IONOSPHERE,classf,ils,19,3,0.5931830514177118,0.14244506224658526,-0.558592,59.29,20,0
