dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
IONOSPHERE,classf,vns,0,3,0.5810850891445628,0.13725610562797103,-0.561805,45.84,20,0
IONOSPHERE,classf,vns,1,3,0.5447139466918028,0.14724148458448968,-0.526151,15.35,20,0
IONOSPHERE,classf,vns,2,3,0.558040304471445,0.16324185051295456,-0.532845,57.54,20,0
IONOSPHERE,classf,vns,3,2,0.5004773760601469,0.10045743643282003,-0.537034,36.0,20,0
IONOSPHERE,classf,vns,4,3,0.5814528179188637,0.16200861227921026,-0.554599,50.45,20,0
IONOSPHERE,classf,vns,5,3,0.5663624585835254,0.11747389929892783,-0.553391,42.4,20,0
IONOSPHERE,classf,vns,6,3,0.5825364407765585,0.12497597239482268,-0.564549,41.08,20,0
IONOSPHERE,classf,vns,7,3,0.5246747034350644,0.13576176416502,-0.484381,59.67,20,0
IONOSPHERE,classf,vns,8,4,0.5169017844197359,0.18110114644758804,-0.52524,27.79,20,0
IONOSPHERE,classf,vns,9,3,0.5858863238070945,0.13701209672584264,-0.561774,55.9,20,0
IONOSPHERE,classf,vns,10,3,0.5662936415479344,0.14790225046980543,-0.531946,38.94,20,0
IONOSPHERE,classf,vns,11,3,0.5674073079147439,0.14868072259978818,-0.540623,21.08,20,0
IONOSPHERE,classf,vns,12,3,0.5401537768807985,0.15388422859697443,-0.519044,20.09,20,0
IONOSPHERE,classf,vns,13,4,0.5403793642964675,0.14170850151382974,-0.535242,53.83,20,0
IONOSPHERE,classf,vns,14,3,0.589270636149086,0.13968169478386305,-0.557592,53.9,20,0
IONOSPHERE,classf,vns,15,3,0.5096341841149696,0.1386775857455727,-0.494144,62.2,20,0
IONOSPHERE,classf,vns,16,3,0.5838518125295704,0.137444511820068,-0.551386,27.15,20,0
IONOSPHERE,classf,vns,17,3,0.5634227848538836,0.14281065855346012,-0.536606,50.53,20,0
IONOSPHERE,classf,vns,18,3,0.5718004205256652,0.1385807450346198,-0.543752,54.51,20,0
IONOSPHERE,classf,vns,19,3,0.5228935988574221,0.08338435353866949,-0.507176,58.12,20,0
