dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
IRIS,classf,ils,0,2,0.6298967177232754,0.6165650469435213,-0.527648,58.08,20,0
IRIS,classf,ils,1,2,0.6345076868098486,0.6180919500260799,-0.534775,49.31,20,0
IRIS,classf,ils,2,3,0.549366801003796,0.49541595389939536,-0.561647,60.35,20,0
IRIS,classf,ils,3,3,0.46235704691326535,0.6917472283696773,-0.513451,17.74,20,0
IRIS,classf,ils,4,2,0.6231153037499988,0.5832299270447269,-0.523858,50.14,20,0
IRIS,classf,ils,5,2,0.6358382687866588,0.6346470847980188,-0.533223,44.74,20,0
IRIS,classf,ils,6,3,0.5961224620845246,0.6022148545205102,-0.577524,24.95,20,0
IRIS,classf,ils,7,2,0.6348588206100539,0.5953523904530721,-0.533336,62.12,20,0
IRIS,classf,ils,8,2,0.6283556070467021,0.6066030246319447,-0.517438,11.23,20,0
IRIS,classf,ils,9,3,0.5587180089114684,0.5542657810235796,-0.53549,59.07,20,0
IRIS,classf,ils,10,3,0.548119495760821,0.44387722084774445,-0.57548,40.31,20,0
IRIS,classf,ils,11,2,0.5002602642903606,0.4424066099752729,-0.516077,42.69,20,0
IRIS,classf,ils,12,3,0.5206559962631374,0.4918192862893909,-0.520913,43.16,20,0
IRIS,classf,ils,13,2,0.632506899650526,0.6302869244109909,-0.526991,25.11,20,0
IRIS,classf,ils,14,2,0.6403335117764839,0.6249799096380163,-0.530907,61.46,20,0
IRIS,classf,ils,15,3,0.5457358074434269,0.49756333305131256,-0.554081,29.8,20,0
IRIS,classf,ils,16,2,0.6350812375930035,0.6233800747850151,-0.530679,33.91,20,0
IRIS,classf,ils,17,3,0.5478000631793144,0.5360201818063054,-0.559457,55.78,20,0
IRIS,classf,ils,18,2,0.6323458400023834,0.6357128427099564,-0.527491,56.85,20,0
IRIS,classf,ils,19,3,0.5651907285707501,0.47164236627746053,-0.586247,61.58,20,0
