dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
IRIS,classf,vns,0,1,,0.0,-0.545429,23.88,20,0
IRIS,classf,vns,1,2,0.6381156497788805,0.5878973196734999,-0.526421,30.2,20,0
IRIS,classf,vns,2,2,0.6358382687866588,0.6346470847980188,-0.533223,61.74,20,0
IRIS,classf,vns,3,2,0.632506899650526,0.6302869244109909,-0.526991,21.71,20,0
IRIS,classf,vns,4,3,0.5856997949127971,0.6253978749748795,-0.549872,50.71,20,0
IRIS,classf,vns,5,2,0.6349779226348938,0.6288850678781183,-0.531207,18.22,20,0
IRIS,classf,vns,6,2,0.6363627796140919,0.6346470847980188,-0.533627,53.12,20,0
IRIS,classf,vns,7,2,0.6222855838751168,0.6450393236182387,-0.529745,51.46,20,0
IRIS,classf,vns,8,2,0.6358382687866588,0.6346470847980188,-0.533223,60.41,20,0
IRIS,classf,vns,9,2,0.6360559605720943,0.6406770633023412,-0.534659,26.35,20,0
IRIS,classf,vns,10,4,0.48840741097583185,0.379381276018647,-0.531241,61.44,20,0
IRIS,classf,vns,11,2,0.6171994885457015,0.6472691579611582,-0.52468,49.6,20,0
IRIS,classf,vns,12,3,0.5522183006957241,0.488016707982202,-0.567248,50.52,20,0
IRIS,classf,vns,13,2,0.6350812375930035,0.6233800747850151,-0.530679,32.0,20,0
IRIS,classf,vns,14,2,0.6264208917340616,0.5814597025250778,-0.533876,57.53,20,0
IRIS,classf,vns,15,3,0.5391533041787333,0.5027624685043914,-0.536089,46.53,20,0
IRIS,classf,vns,16,4,0.49180285243507255,0.43163565235984325,-0.536819,56.92,20,0
IRIS,classf,vns,17,2,0.6357254663858691,0.5838352438313581,-0.534781,18.56,20,0
IRIS,classf,vns,18,2,0.637334834411511,0.6406770633023412,-0.535807,55.73,20,0
IRIS,classf,vns,19,3,0.4181338407407722,0.7346384171005621,-0.516238,58.13,20,0
