dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
JAIN,classf,brkga,0,3,0.503269839596442,0.2706468611416392,-0.496318,34.35,20,0
JAIN,classf,brkga,1,4,0.4242519126465574,0.3205559359582497,-0.494626,57.71,20,0
JAIN,classf,brkga,2,4,0.43680964593563576,0.2767247641189219,-0.495503,57.87,20,0
JAIN,classf,brkga,3,4,0.48697312712533236,0.28891440330184415,-0.488449,27.9,20,0
JAIN,classf,brkga,4,4,0.37323308893744533,0.3287179264550039,-0.507442,62.12,20,0
JAIN,classf,brkga,5,3,0.5072578220908943,0.2944568851993646,-0.501075,23.55,20,0
JAIN,classf,brkga,6,3,0.49828004310627855,0.2975442505657434,-0.493931,21.67,20,0
JAIN,classf,brkga,7,3,0.49467998094946286,0.3464188868622089,-0.492835,26.48,20,0
JAIN,classf,brkga,8,3,0.49726932092775045,0.291312307464523,-0.492938,14.55,20,0
JAIN,classf,brkga,9,3,0.5067637652202999,0.2887328575733572,-0.503214,26.3,20,0
JAIN,classf,brkga,10,3,0.5099736614558094,0.33434010575730966,-0.505565,30.88,20,0
JAIN,classf,brkga,11,4,0.3225048636637483,0.32109389394447385,-0.494196,55.55,20,0
JAIN,classf,brkga,12,3,0.5062009607628926,0.282431381775785,-0.501413,30.86,20,0
JAIN,classf,brkga,13,3,0.4979639737426585,0.31809493806109973,-0.497884,62.27,20,0
JAIN,classf,brkga,14,4,0.4878581340602669,0.29573988372778887,-0.491671,33.17,20,0
JAIN,classf,brkga,15,3,0.49167120262771635,0.3624112023445864,-0.491219,52.05,20,0
JAIN,classf,brkga,16,4,0.3768120526981153,0.3354098991509857,-0.49746,30.2,20,0
JAIN,classf,brkga,17,3,0.5015823553962193,0.3428596674097445,-0.503139,61.98,20,0
JAIN,classf,brkga,18,3,0.49911526862507866,0.2657039878319068,-0.495639,56.27,20,0
JAIN,classf,brkga,19,4,0.431897633927513,0.30577073475261557,-0.496926,50.45,20,0
