dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
JAIN,classf,ils,0,4,0.4064745807260463,0.3211792429847522,-0.480834,12.96,20,0
JAIN,classf,ils,1,3,0.5078788595456691,0.35068886845264624,-0.509507,40.77,20,0
JAIN,classf,ils,2,3,0.5062623645503893,0.36130965174325635,-0.504763,58.2,20,0
JAIN,classf,ils,3,5,0.48269075913674264,0.3271520414284076,-0.542796,58.91,20,0
JAIN,classf,ils,4,3,0.5034057777245353,0.4413917154967406,-0.511301,39.91,20,0
JAIN,classf,ils,5,4,0.4983915946800614,0.28270355143308296,-0.513107,37.99,20,0
JAIN,classf,ils,6,4,0.49718547225177434,0.30792224884838404,-0.502379,59.01,20,0
JAIN,classf,ils,7,3,0.5276825282875621,0.327474436944463,-0.5261,58.96,20,0
JAIN,classf,ils,8,3,0.5234777519448884,0.31973241103565714,-0.519927,61.24,20,0
JAIN,classf,ils,9,4,0.426254204062024,0.3736328061440164,-0.502798,32.61,20,0
JAIN,classf,ils,10,4,0.5182263598621442,0.3180388279467329,-0.523097,30.07,20,0
JAIN,classf,ils,11,3,0.5034057777245353,0.4413917154967406,-0.511301,32.48,20,0
JAIN,classf,ils,12,5,0.45954177953155506,0.2346894435757869,-0.473903,46.27,20,0
JAIN,classf,ils,13,4,0.4529459837274817,0.3578535262058698,-0.491212,61.67,20,0
JAIN,classf,ils,14,3,0.5139738391288474,0.3520455270483674,-0.515341,9.08,20,0
JAIN,classf,ils,15,4,0.42809278397161915,0.3456292080739349,-0.509158,56.02,20,0
JAIN,classf,ils,16,5,0.40664521403351556,0.383415112251638,-0.51292,60.89,20,0
JAIN,classf,ils,17,4,0.5016035873366205,0.3198059169401424,-0.507234,62.32,20,0
JAIN,classf,ils,18,4,0.4962933752504374,0.3102316597019676,-0.50164,50.72,20,0
JAIN,classf,ils,19,4,0.43071677210241627,0.2979558090692485,-0.503617,59.27,20,0
