dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
JAIN,classf,vns,0,3,0.4993961554683581,0.4551128080802888,-0.506584,60.57,20,0
JAIN,classf,vns,1,4,0.5016922838741431,0.3093770696542617,-0.506743,26.15,20,0
JAIN,classf,vns,2,3,0.5110140169387792,0.26196221398540415,-0.510779,56.08,20,0
JAIN,classf,vns,3,4,0.4397917576985834,0.34265026411183275,-0.514057,61.84,20,0
JAIN,classf,vns,4,6,0.4237974257297849,0.33550475253756434,-0.492719,59.99,20,0
JAIN,classf,vns,5,6,0.4755261970591635,0.21538240954193122,-0.47939,61.49,20,0
JAIN,classf,vns,6,5,0.4038120277327689,0.29352063887056223,-0.467455,32.61,20,0
JAIN,classf,vns,7,4,0.42264341525185223,0.37807718203547236,-0.515858,60.71,20,0
JAIN,classf,vns,8,4,0.4920248591994518,0.3093018980229215,-0.497404,61.19,20,0
JAIN,classf,vns,9,4,0.5223086593331535,0.3195933975931084,-0.527371,59.08,20,0
JAIN,classf,vns,10,5,0.42493064367742917,0.23391906369850562,-0.461686,55.66,20,0
JAIN,classf,vns,11,4,0.502871889732714,0.3086910174168922,-0.508077,50.38,20,0
JAIN,classf,vns,12,4,0.5155335195405552,0.42098084323189644,-0.533783,62.1,20,0
JAIN,classf,vns,13,3,0.5345101032686713,0.36854109979772354,-0.53389,39.86,20,0
JAIN,classf,vns,14,6,0.49269710851982,0.2415265909665,-0.495969,59.65,20,0
JAIN,classf,vns,15,4,0.5022463647838178,0.3135049676293413,-0.507605,58.79,20,0
JAIN,classf,vns,16,4,0.4625509168301266,0.3206623838863085,-0.518183,60.0,20,0
JAIN,classf,vns,17,4,0.41580864362799763,0.3478429694425594,-0.490424,62.32,20,0
JAIN,classf,vns,18,3,0.5112111715729004,0.3854359164602268,-0.513249,42.23,20,0
JAIN,classf,vns,19,3,0.5065070367583345,0.3020149441317465,-0.499196,57.0,20,0
