dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
MARONNA,clust,brkga,0,4,0.6214394887372982,,-0.615994,32.68,20,0
MARONNA,clust,brkga,1,5,0.4641396891134882,,-0.592546,29.21,20,0
MARONNA,clust,brkga,2,5,0.5161535192906052,,-0.592657,59.85,20,0
MARONNA,clust,brkga,3,4,0.6101547866345515,,-0.604805,59.62,20,0
MARONNA,clust,brkga,4,3,0.5121010497639803,,-0.628679,58.42,20,0
MARONNA,clust,brkga,5,4,0.6201062416501746,,-0.612767,30.4,20,0
MARONNA,clust,brkga,6,4,0.6108404830238431,,-0.605767,47.88,20,0
MARONNA,clust,brkga,7,5,0.5242926809056763,,-0.616416,22.48,20,0
MARONNA,clust,brkga,8,4,0.6162775187150553,,-0.611377,29.06,20,0
MARONNA,clust,brkga,9,4,0.6174034589927456,,-0.615775,55.05,20,0
MARONNA,clust,brkga,10,5,0.5025138448198312,,-0.588421,21.75,20,0
MARONNA,clust,brkga,11,5,0.49923627046885805,,-0.580384,32.04,20,0
MARONNA,clust,brkga,12,4,0.6157221632859671,,-0.611402,33.35,20,0
MARONNA,clust,brkga,13,4,0.2882203984694374,,-0.614483,21.15,20,0
MARONNA,clust,brkga,14,3,0.48320974763766067,,-0.627382,60.18,20,0
MARONNA,clust,brkga,15,4,0.6265043913007438,,-0.622086,13.4,20,0
MARONNA,clust,brkga,16,3,0.46607209061350724,,-0.600932,59.27,20,0
MARONNA,clust,brkga,17,4,0.6162954463901611,,-0.610232,35.73,20,0
MARONNA,clust,brkga,18,4,0.6412876347296872,,-0.635828,61.31,20,0
MARONNA,clust,brkga,19,2,0.37808799816106153,,-0.617448,28.57,20,0
