dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
MARONNA,clust,ils,0,4,0.6306695808908827,,-0.624232,39.6,20,0
MARONNA,clust,ils,1,4,0.6165549397521278,,-0.609769,28.01,20,0
MARONNA,clust,ils,2,4,0.39922812016480996,,-0.630902,49.26,20,0
MARONNA,clust,ils,3,4,0.6194413548262924,,-0.621777,32.08,20,0
MARONNA,clust,ils,4,2,0.456309729865048,,-0.636649,43.77,20,0
MARONNA,clust,ils,5,4,0.6347314469433447,,-0.627091,58.91,20,0
MARONNA,clust,ils,6,4,0.6511578032609712,,-0.644832,61.17,20,0
MARONNA,clust,ils,7,4,0.6330614689973307,,-0.626861,47.66,20,0
MARONNA,clust,ils,8,4,0.44495479904290913,,-0.627614,15.82,20,0
MARONNA,clust,ils,9,4,0.31284127843882387,,-0.607064,15.33,20,0
MARONNA,clust,ils,10,4,0.6381069080461299,,-0.630126,40.35,20,0
MARONNA,clust,ils,11,4,0.6339473855234777,,-0.631264,38.13,20,0
MARONNA,clust,ils,12,4,0.6437466561702166,,-0.642456,55.42,20,0
MARONNA,clust,ils,13,4,0.6461912968845807,,-0.639522,44.09,20,0
MARONNA,clust,ils,14,4,0.6344323092079385,,-0.634553,61.95,20,0
MARONNA,clust,ils,15,4,0.6414303367588136,,-0.640164,12.72,20,0
MARONNA,clust,ils,16,4,0.6001245173631887,,-0.600866,60.16,20,0
MARONNA,clust,ils,17,4,0.3941988642732112,,-0.598144,53.01,20,0
MARONNA,clust,ils,18,4,0.6448330946917515,,-0.644412,52.83,20,0
MARONNA,clust,ils,19,4,0.6519933797837228,,-0.646181,34.22,20,0
