dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
MARONNA,clust,vns,0,3,0.3902301597915496,,-0.623344,30.03,20,0
MARONNA,clust,vns,1,3,0.524155812096302,,-0.626167,40.75,20,0
MARONNA,clust,vns,2,4,0.6536836752309445,,-0.648165,58.53,20,0
MARONNA,clust,vns,3,4,0.6279778083472244,,-0.621129,37.14,20,0
MARONNA,clust,vns,4,4,0.6356297311127108,,-0.627723,46.94,20,0
MARONNA,clust,vns,5,4,0.6357345174812782,,-0.630824,14.67,20,0
MARONNA,clust,vns,6,3,0.4885232112833529,,-0.614086,60.18,20,0
MARONNA,clust,vns,7,3,0.5168325402986774,,-0.633242,59.16,20,0
MARONNA,clust,vns,8,2,0.3041401363276951,,-0.62641,47.37,20,0
MARONNA,clust,vns,9,4,0.6546680952218454,,-0.648771,48.87,20,0
MARONNA,clust,vns,10,3,0.37470219100586083,,-0.644201,54.24,20,0
MARONNA,clust,vns,11,5,0.5889806631675212,,-0.623038,16.36,20,0
MARONNA,clust,vns,12,4,0.6202032946868292,,-0.620454,50.96,20,0
MARONNA,clust,vns,13,4,0.6521489317263967,,-0.645721,56.78,20,0
MARONNA,clust,vns,14,1,,,-0.642986,25.02,20,0
MARONNA,clust,vns,15,3,0.490291856857146,,-0.635882,38.3,20,0
MARONNA,clust,vns,16,4,0.6432084944492285,,-0.64225,52.9,20,0
MARONNA,clust,vns,17,3,0.5217722275570452,,-0.622265,61.15,20,0
MARONNA,clust,vns,18,3,0.459697971809493,,-0.612745,61.42,20,0
MARONNA,clust,vns,19,3,0.34502172475623843,,-0.605179,33.57,20,0
