dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
NEW-THYROID,classf,ils,0,3,0.8177717280455624,0.01055563969884303,-0.801423,56.95,20,0
NEW-THYROID,classf,ils,1,2,0.8292854290850713,-0.0013030366542258062,-0.839849,52.23,20,0
NEW-THYROID,classf,ils,2,3,0.8404393144936024,0.0017339712855034464,-0.843779,24.97,20,0
NEW-THYROID,classf,ils,3,2,0.8366017848434741,-0.0014222807638278269,-0.847251,6.21,20,0
NEW-THYROID,classf,ils,4,3,0.8370977209295778,0.006160337337680333,-0.83341,45.75,20,0
NEW-THYROID,classf,ils,5,3,0.8414288515555801,0.005756641581871811,-0.839493,19.09,20,0
NEW-THYROID,classf,ils,6,3,0.8195889128499684,0.005397989889595166,-0.81936,60.6,20,0
NEW-THYROID,classf,ils,7,2,0.8327099226246828,-0.0014109564538371437,-0.843574,18.11,20,0
NEW-THYROID,classf,ils,8,3,0.8395459578210553,0.009549351509192085,-0.8266,28.57,20,0
NEW-THYROID,classf,ils,9,2,0.8077887965286605,-0.001889030665510307,-0.820986,9.41,20,0
NEW-THYROID,classf,ils,10,2,0.8281479133510763,-0.0017183486316096706,-0.840406,54.52,20,0
NEW-THYROID,classf,ils,11,3,0.8469399142492551,0.008857364034061245,-0.839576,24.76,20,0
NEW-THYROID,classf,ils,12,2,0.8248223617111143,-0.0009657804888867414,-0.838687,25.93,20,0
NEW-THYROID,classf,ils,13,3,0.8343086137491322,0.0025433329112253974,-0.837595,15.72,20,0
NEW-THYROID,classf,ils,14,3,0.8463553879234186,0.004251167113897672,-0.845998,39.02,20,0
NEW-THYROID,classf,ils,15,2,0.8254526859952366,-0.0009492854297081473,-0.838638,20.61,20,0
NEW-THYROID,classf,ils,16,3,0.8383182390450937,0.008789659263521002,-0.827256,59.46,20,0
NEW-THYROID,classf,ils,17,3,0.83809660103421,0.006001389950510612,-0.835864,61.06,20,0
NEW-THYROID,classf,ils,18,3,0.843932017471192,0.0048463388541050865,-0.844194,60.77,20,0
NEW-THYROID,classf,ils,19,3,0.8244249786389742,0.009053993639436054,-0.80664,42.87,20,0
