dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
NUMBERS2,clust,brkga,0,12,0.43909314623711887,,-0.438966,15.03,20,0
NUMBERS2,clust,brkga,1,13,0.43793934622112834,,-0.43294,21.64,20,0
NUMBERS2,clust,brkga,2,14,0.40956445119334206,,-0.412397,26.56,20,0
NUMBERS2,clust,brkga,3,10,0.4417816394889892,,-0.43865,51.89,20,0
NUMBERS2,clust,brkga,4,7,0.42065426425634417,,-0.417173,16.24,20,0
NUMBERS2,clust,brkga,5,9,0.41512168064880856,,-0.399,59.55,20,0
NUMBERS2,clust,brkga,6,9,0.3828386715864336,,-0.393196,60.61,20,0
NUMBERS2,clust,brkga,7,8,0.4487913773400424,,-0.456679,59.4,20,0
NUMBERS2,clust,brkga,8,8,0.4678481509487802,,-0.484831,36.15,20,0
NUMBERS2,clust,brkga,9,8,0.44651375119406916,,-0.45863,32.33,20,0
NUMBERS2,clust,brkga,10,8,0.40886292085250375,,-0.413643,33.34,20,0
NUMBERS2,clust,brkga,11,8,0.42696663182245853,,-0.432352,62.19,20,0
NUMBERS2,clust,brkga,12,8,0.43446799105568995,,-0.430489,22.18,20,0
NUMBERS2,clust,brkga,13,8,0.40560004046981113,,-0.41631,61.37,20,0
NUMBERS2,clust,brkga,14,12,0.4468815198958804,,-0.434375,59.2,20,0
NUMBERS2,clust,brkga,15,8,0.42780574642084634,,-0.419545,33.5,20,0
NUMBERS2,clust,brkga,16,9,0.4100255131510953,,-0.422798,35.13,20,0
NUMBERS2,clust,brkga,17,12,0.3949190725880577,,-0.421818,26.95,20,0
NUMBERS2,clust,brkga,18,9,0.4336923995828876,,-0.446175,61.29,20,0
NUMBERS2,clust,brkga,19,7,0.4401699648355042,,-0.4355,22.84,20,0
