dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
NUMBERS2,clust,ils,0,8,0.4916951004418269,,-0.504682,61.43,20,0
NUMBERS2,clust,ils,1,11,0.49330336641194983,,-0.48632,57.8,20,0
NUMBERS2,clust,ils,2,8,0.4628238361203322,,-0.473845,57.7,20,0
NUMBERS2,clust,ils,3,8,0.49402847036932196,,-0.508592,50.6,20,0
NUMBERS2,clust,ils,4,5,0.464273099478408,,-0.451185,59.26,20,0
NUMBERS2,clust,ils,5,11,0.49915705633063984,,-0.493727,51.72,20,0
NUMBERS2,clust,ils,6,8,0.45466135426393506,,-0.467609,54.85,20,0
NUMBERS2,clust,ils,7,8,0.48130818488223226,,-0.494936,59.83,20,0
NUMBERS2,clust,ils,8,5,0.4697037856109233,,-0.45477,61.89,20,0
NUMBERS2,clust,ils,9,8,0.48335855217188695,,-0.492675,61.44,20,0
NUMBERS2,clust,ils,10,5,0.47155130933220596,,-0.460839,52.38,20,0
NUMBERS2,clust,ils,11,8,0.4830135607509831,,-0.491705,62.77,20,0
NUMBERS2,clust,ils,12,5,0.3588261467540473,,-0.382612,42.55,20,0
NUMBERS2,clust,ils,13,8,0.46900910667710377,,-0.482154,60.75,20,0
NUMBERS2,clust,ils,14,11,0.5105945085978519,,-0.502462,60.1,20,0
NUMBERS2,clust,ils,15,8,0.482792479981371,,-0.492996,51.63,20,0
NUMBERS2,clust,ils,16,8,0.4893579381589658,,-0.500856,60.61,20,0
NUMBERS2,clust,ils,17,10,0.42891101371086715,,-0.453125,54.7,20,0
NUMBERS2,clust,ils,18,10,0.5001493180399494,,-0.497916,25.47,20,0
NUMBERS2,clust,ils,19,8,0.4990337555906618,,-0.508023,52.43,20,0
