dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
NUMBERS2,clust,vns,0,9,0.44462310041844577,,-0.429696,60.09,20,0
NUMBERS2,clust,vns,1,12,0.48305439596529687,,-0.489839,63.54,20,0
NUMBERS2,clust,vns,2,7,0.4675201705414465,,-0.471463,54.38,20,0
NUMBERS2,clust,vns,3,14,0.47359031301907,,-0.465509,48.94,20,0
NUMBERS2,clust,vns,4,8,0.4758740022971823,,-0.481067,55.62,20,0
NUMBERS2,clust,vns,5,8,0.4695574286701286,,-0.462757,36.51,20,0
NUMBERS2,clust,vns,6,6,0.3549062172692041,,-0.388759,58.01,20,0
NUMBERS2,clust,vns,7,10,0.4459124881525696,,-0.458404,62.69,20,0
NUMBERS2,clust,vns,8,11,0.4744056291634349,,-0.464212,56.23,20,0
NUMBERS2,clust,vns,9,9,0.46927269229018126,,-0.47624,22.71,20,0
NUMBERS2,clust,vns,10,8,0.48263466368593344,,-0.502109,46.32,20,0
NUMBERS2,clust,vns,11,10,0.461056176281845,,-0.483003,49.33,20,0
NUMBERS2,clust,vns,12,7,0.4662684511779008,,-0.469526,62.2,20,0
NUMBERS2,clust,vns,13,10,0.4520925448371503,,-0.473283,61.52,20,0
NUMBERS2,clust,vns,14,9,0.4169887440993471,,-0.445937,18.31,20,0
NUMBERS2,clust,vns,15,8,0.49167114535751055,,-0.500766,54.81,20,0
NUMBERS2,clust,vns,16,14,0.4851410457047556,,-0.488602,34.75,20,0
NUMBERS2,clust,vns,17,13,0.4393337740950174,,-0.427277,44.3,20,0
NUMBERS2,clust,vns,18,8,0.4710676662605005,,-0.482163,58.59,20,0
NUMBERS2,clust,vns,19,16,0.4626133011698368,,-0.470891,62.49,20,0
