dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
OUTLIERS,clust,brkga,0,2,0.5534377989653642,,-0.538241,30.93,20,0
OUTLIERS,clust,brkga,1,2,0.5540362669529894,,-0.538747,19.02,20,0
OUTLIERS,clust,brkga,2,2,0.557339752503196,,-0.539417,59.99,20,0
OUTLIERS,clust,brkga,3,2,0.5780803967663116,,-0.561451,49.79,20,0
OUTLIERS,clust,brkga,4,2,0.5722235470294909,,-0.553722,31.52,20,0
OUTLIERS,clust,brkga,5,2,0.5539701929047691,,-0.538592,60.53,20,0
OUTLIERS,clust,brkga,6,2,0.5776857948938934,,-0.558042,55.73,20,0
OUTLIERS,clust,brkga,7,2,0.5606573283918359,,-0.542569,26.74,20,0
OUTLIERS,clust,brkga,8,2,0.5716619391436991,,-0.560799,29.88,20,0
OUTLIERS,clust,brkga,9,1,,,-0.540627,59.03,20,0
OUTLIERS,clust,brkga,10,2,0.5722235470294909,,-0.553722,32.28,20,0
OUTLIERS,clust,brkga,11,2,0.5598694105997548,,-0.544727,57.78,20,0
OUTLIERS,clust,brkga,12,2,0.552589488551217,,-0.537383,59.2,20,0
OUTLIERS,clust,brkga,13,2,0.5806983914537251,,-0.564891,59.12,20,0
OUTLIERS,clust,brkga,14,2,0.5589260011979686,,-0.544763,59.41,20,0
OUTLIERS,clust,brkga,15,2,0.5645201647898341,,-0.547522,26.8,20,0
OUTLIERS,clust,brkga,16,2,0.5662862681275806,,-0.550776,30.31,20,0
OUTLIERS,clust,brkga,17,2,0.5589260011979686,,-0.544763,8.63,20,0
OUTLIERS,clust,brkga,18,2,0.5539701929047691,,-0.538592,56.83,20,0
OUTLIERS,clust,brkga,19,1,,,-0.54475,59.23,20,0
