dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
OUTLIERS,clust,ils,0,2,0.5685228753739269,,-0.556569,57.14,20,0
OUTLIERS,clust,ils,1,1,,,-0.537133,37.72,20,0
OUTLIERS,clust,ils,2,2,0.5635994858405063,,-0.542778,53.79,20,0
OUTLIERS,clust,ils,3,2,0.5369067214994239,,-0.521526,46.24,20,0
OUTLIERS,clust,ils,4,2,0.5770653160829308,,-0.559969,60.44,20,0
OUTLIERS,clust,ils,5,1,,,-0.540634,61.83,20,0
OUTLIERS,clust,ils,6,2,0.531021583690268,,-0.513493,56.86,20,0
OUTLIERS,clust,ils,7,1,,,-0.516918,44.45,20,0
OUTLIERS,clust,ils,8,2,0.5620648485802772,,-0.547842,61.38,20,0
OUTLIERS,clust,ils,9,2,0.5521398176048156,,-0.542507,19.56,20,0
OUTLIERS,clust,ils,10,2,0.533343477639705,,-0.515432,48.29,20,0
OUTLIERS,clust,ils,11,2,0.5564652834798628,,-0.540416,46.63,20,0
OUTLIERS,clust,ils,12,2,0.5656142332962676,,-0.552225,16.03,20,0
OUTLIERS,clust,ils,13,1,,,-0.532335,57.74,20,0
OUTLIERS,clust,ils,14,1,,,-0.547927,20.33,20,0
OUTLIERS,clust,ils,15,1,,,-0.511668,22.33,20,0
OUTLIERS,clust,ils,16,2,0.5720348831030589,,-0.557698,54.96,20,0
OUTLIERS,clust,ils,17,2,0.5584419497772203,,-0.542205,37.63,20,0
OUTLIERS,clust,ils,18,3,0.29279969433243397,,-0.561659,53.5,20,0
OUTLIERS,clust,ils,19,2,0.5328845453405848,,-0.514756,59.6,20,0
