dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
OUTLIERS,clust,vns,0,2,0.5770653160829308,,-0.559969,54.82,20,0
OUTLIERS,clust,vns,1,2,0.5647577493799342,,-0.545787,46.4,20,0
OUTLIERS,clust,vns,2,2,0.5728478131061975,,-0.552503,42.19,20,0
OUTLIERS,clust,vns,3,2,0.5486301572461264,,-0.531949,58.5,20,0
OUTLIERS,clust,vns,4,2,0.5662862681275806,,-0.550776,38.86,20,0
OUTLIERS,clust,vns,5,1,,,-0.541992,16.96,20,0
OUTLIERS,clust,vns,6,1,,,-0.500464,57.26,20,0
OUTLIERS,clust,vns,7,2,0.5606573283918359,,-0.542569,28.18,20,0
OUTLIERS,clust,vns,8,2,0.5599388485410285,,-0.544937,55.88,20,0
OUTLIERS,clust,vns,9,2,0.5585599026059164,,-0.547758,54.17,20,0
OUTLIERS,clust,vns,10,1,,,-0.494158,43.69,20,0
OUTLIERS,clust,vns,11,2,0.558537915036002,,-0.543918,34.62,20,0
OUTLIERS,clust,vns,12,2,0.5775689074198717,,-0.557631,51.33,20,0
OUTLIERS,clust,vns,13,2,0.5752931455721438,,-0.56666,34.65,20,0
OUTLIERS,clust,vns,14,1,,,-0.537096,22.83,20,0
OUTLIERS,clust,vns,15,2,0.5409956462344438,,-0.526243,30.69,20,0
OUTLIERS,clust,vns,16,2,0.5670858142070787,,-0.554392,61.55,20,0
OUTLIERS,clust,vns,17,2,0.5467776195249641,,-0.5273,10.28,20,0
OUTLIERS,clust,vns,18,3,0.3961050748717919,,-0.40455,36.92,20,0
OUTLIERS,clust,vns,19,2,0.5599694071604778,,-0.544977,61.3,20,0
