dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
PARKINSONS,clust,ils,0,2,0.6869463009707778,,-0.669153,48.33,20,0
PARKINSONS,clust,ils,1,2,0.6238061633576542,,-0.693135,17.46,20,0
PARKINSONS,clust,ils,2,2,0.6720546305125261,,-0.668779,52.53,20,0
PARKINSONS,clust,ils,3,2,0.6179301978650669,,-0.682196,61.26,20,0
PARKINSONS,clust,ils,4,2,0.61061425515204,,-0.593221,59.73,20,0
PARKINSONS,clust,ils,5,2,0.6203147436692245,,-0.572938,20.66,20,0
PARKINSONS,clust,ils,6,2,0.6086412469002968,,-0.560036,51.96,20,0
PARKINSONS,clust,ils,7,2,0.6303224724050349,,-0.626589,46.22,20,0
PARKINSONS,clust,ils,8,2,0.6231022110157284,,-0.691347,57.58,20,0
PARKINSONS,clust,ils,9,2,0.6194159529998162,,-0.6862,18.2,20,0
PARKINSONS,clust,ils,10,2,0.6334261867297432,,-0.623421,45.84,20,0
PARKINSONS,clust,ils,11,2,0.6289109567981144,,-0.694005,50.63,20,0
PARKINSONS,clust,ils,12,2,0.6323624905783191,,-0.623866,49.28,20,0
PARKINSONS,clust,ils,13,2,0.6323624905783191,,-0.623866,13.9,20,0
PARKINSONS,clust,ils,14,2,0.4554061844758291,,-0.643031,11.35,20,0
PARKINSONS,clust,ils,15,2,0.6154642180359584,,-0.677064,59.36,20,0
PARKINSONS,clust,ils,16,2,0.6231022110157284,,-0.691347,48.06,20,0
PARKINSONS,clust,ils,17,3,0.6205300960208284,,-0.565549,18.23,20,0
PARKINSONS,clust,ils,18,2,0.6203027787921658,,-0.688159,60.5,20,0
PARKINSONS,clust,ils,19,2,0.5709362403398898,,-0.560067,38.4,20,0
