dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
PARKINSONS,clust,vns,0,2,0.566866326386889,,-0.616971,0.59,20,0
PARKINSONS,clust,vns,1,2,0.5694660342302122,,-0.547446,23.14,20,0
PARKINSONS,clust,vns,2,3,0.6021910274800318,,-0.549963,60.08,20,0
PARKINSONS,clust,vns,3,2,0.6195258610999753,,-0.570482,39.28,20,0
PARKINSONS,clust,vns,4,3,0.49252816815609424,,-0.546925,24.97,20,0
PARKINSONS,clust,vns,5,2,0.618713553614733,,-0.684123,51.11,20,0
PARKINSONS,clust,vns,6,2,0.6231022110157284,,-0.691347,16.19,20,0
PARKINSONS,clust,vns,7,2,0.6273882333311238,,-0.699901,36.23,20,0
PARKINSONS,clust,vns,8,2,0.6254198958581065,,-0.695618,58.4,20,0
PARKINSONS,clust,vns,9,2,0.6443447080165339,,-0.63578,42.28,20,0
PARKINSONS,clust,vns,10,2,0.6310783811057168,,-0.62937,59.49,20,0
PARKINSONS,clust,vns,11,2,0.6323624905783191,,-0.623866,37.17,20,0
PARKINSONS,clust,vns,12,2,0.6041937337727631,,-0.573577,49.58,20,0
PARKINSONS,clust,vns,13,2,0.6031380698996829,,-0.58708,19.11,20,0
PARKINSONS,clust,vns,14,2,0.6231022110157284,,-0.691347,61.96,20,0
PARKINSONS,clust,vns,15,3,0.41586089777103485,,-0.509716,18.3,20,0
PARKINSONS,clust,vns,16,2,0.6142849079804958,,-0.5634,54.43,20,0
PARKINSONS,clust,vns,17,2,0.6273808368661459,,-0.574502,37.86,20,0
PARKINSONS,clust,vns,18,2,0.605723336154298,,-0.556391,27.42,20,0
PARKINSONS,clust,vns,19,2,0.6637271991198679,,-0.649327,26.99,20,0
