dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
PATHBASED,classf,brkga,0,3,0.44871159759588825,0.3792144211417349,-0.441338,14.12,20,0
PATHBASED,classf,brkga,1,3,0.42662359680292705,0.3455237916118112,-0.425207,35.2,20,0
PATHBASED,classf,brkga,2,4,0.4384584050218859,0.38792263172818553,-0.437468,60.5,20,0
PATHBASED,classf,brkga,3,4,0.3313746535821233,0.35796605590063846,-0.421144,54.32,20,0
PATHBASED,classf,brkga,4,4,0.44207933091310037,0.3755125572704107,-0.437252,57.76,20,0
PATHBASED,classf,brkga,5,4,0.44090775303174656,0.37734904858459895,-0.436647,29.45,20,0
PATHBASED,classf,brkga,6,2,0.4195157814082922,0.08115664383386154,-0.418667,11.67,20,0
PATHBASED,classf,brkga,7,3,0.44223843642536603,0.4091433838977532,-0.444341,46.33,20,0
PATHBASED,classf,brkga,8,4,0.43898332861350664,0.3826624416931292,-0.436277,60.36,20,0
PATHBASED,classf,brkga,9,4,0.41687330197786443,0.2998571976050689,-0.414644,51.91,20,0
PATHBASED,classf,brkga,10,5,0.42460509803727414,0.3773274148262922,-0.424518,30.09,20,0
PATHBASED,classf,brkga,11,5,0.4309003554829763,0.3402323600942125,-0.428192,60.61,20,0
PATHBASED,classf,brkga,12,7,0.2721615880033034,0.3658756880458102,-0.425892,0.31,20,0
PATHBASED,classf,brkga,13,4,0.42034134570955195,0.3502893638572018,-0.419492,29.96,20,0
PATHBASED,classf,brkga,14,5,0.43832744500688864,0.39513035085825,-0.438985,60.65,20,0
PATHBASED,classf,brkga,15,3,0.4482298128835835,0.37527354217425696,-0.434627,33.37,20,0
PATHBASED,classf,brkga,16,4,0.437431650801906,0.4267454233634074,-0.437604,22.47,20,0
PATHBASED,classf,brkga,17,4,0.42691566572178674,0.3814376746356769,-0.424363,52.68,20,0
PATHBASED,classf,brkga,18,4,0.4385051481139079,0.38970025419347226,-0.435463,29.11,20,0
PATHBASED,classf,brkga,19,4,0.44962886010504416,0.3501711120488566,-0.44508,57.8,20,0
