dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
PATHBASED,classf,ils,0,4,0.4744,0.4382,,,20,
PATHBASED,classf,ils,1,5,0.3379078157423172,0.3645142971560125,-0.424603,44.67,20,0.0
PATHBASED,classf,ils,2,4,0.2859653528180076,0.32003663469244664,-0.460498,44.05,20,0.0
PATHBASED,classf,ils,3,4,0.431451407462971,0.3832368751853177,-0.431438,61.02,20,0.0
PATHBASED,classf,ils,4,5,0.42445029676718254,0.36051690752372484,-0.425853,51.48,20,0.0
PATHBASED,classf,ils,5,5,0.4311598959715103,0.3965560284873601,-0.432157,44.66,20,0.0
PATHBASED,classf,ils,6,4,0.47138199407389253,0.4550675967103131,-0.469239,54.22,20,0.0
PATHBASED,classf,ils,7,5,0.40770690922391445,0.38691353024093583,-0.45198,34.38,20,0.0
PATHBASED,classf,ils,8,4,0.45885485871414705,0.45481984341785675,-0.458723,19.98,20,0.0
PATHBASED,classf,ils,9,3,0.4583105262975341,0.3877062230783306,-0.452358,16.21,20,0.0
PATHBASED,classf,ils,10,5,0.4552857646525102,0.41831628115879094,-0.455872,23.39,20,0.0
PATHBASED,classf,ils,11,3,0.42608790000590724,0.37530842763795025,-0.430121,51.62,20,0.0
PATHBASED,classf,ils,12,3,0.4897901694299264,0.4498760195702865,-0.487227,55.2,20,0.0
PATHBASED,classf,ils,13,4,0.4351744936218061,0.41596235130879944,-0.441983,31.95,20,0.0
PATHBASED,classf,ils,14,4,0.30603269013373546,0.33468350235546535,-0.416689,0.33,20,0.0
PATHBASED,classf,ils,15,5,0.46830978592159833,0.43743838756934283,-0.470301,45.2,20,0.0
PATHBASED,classf,ils,16,5,0.46865102228595523,0.4345529576609042,-0.473329,58.24,20,0.0
PATHBASED,classf,ils,17,3,0.46989680746836904,0.39885595423816955,-0.463713,41.87,20,0.0
PATHBASED,classf,ils,18,4,0.38278615432079155,0.38119692595110627,-0.453747,5.06,20,0.0
PATHBASED,classf,ils,19,3,0.4495914139710677,0.3954400236433154,-0.449035,48.41,20,0.0
