dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
PIMA-INDIANS,classf,brkga,0,2,0.44233870055685187,0.006422747774686176,-0.50358,60.0,20,0
PIMA-INDIANS,classf,brkga,1,3,0.4067582452570421,0.15399083805113775,-0.383536,31.21,20,0
PIMA-INDIANS,classf,brkga,2,3,0.3858093651156253,0.1344232734129295,-0.371505,36.06,20,0
PIMA-INDIANS,classf,brkga,3,2,0.3671867816643604,-0.0071800245097555,-0.484371,29.39,20,0
PIMA-INDIANS,classf,brkga,4,3,0.390376322330491,0.15503183325310185,-0.380021,33.02,20,0
PIMA-INDIANS,classf,brkga,5,3,0.3898337435471681,0.059221306790068665,-0.36384,15.44,20,0
PIMA-INDIANS,classf,brkga,6,3,0.4020813195618822,0.14646433287982405,-0.381854,62.16,20,0
PIMA-INDIANS,classf,brkga,7,2,0.34073172221343795,-0.007122131884896802,-0.452943,34.13,20,0
PIMA-INDIANS,classf,brkga,8,3,0.400551118037246,0.15476835170699224,-0.381969,19.71,20,0
PIMA-INDIANS,classf,brkga,9,2,0.4703420003937298,0.07925126792604713,-0.37955,10.89,20,0
PIMA-INDIANS,classf,brkga,10,2,0.3909690607802778,0.012024422376491248,-0.457833,25.81,20,0
PIMA-INDIANS,classf,brkga,11,3,0.41988972301274674,0.1244721866682433,-0.375841,62.17,20,0
PIMA-INDIANS,classf,brkga,12,3,0.40297348941966377,0.15041065462320413,-0.385038,35.49,20,0
PIMA-INDIANS,classf,brkga,13,2,0.4242089070484017,0.004048059374616218,-0.46846,59.56,20,0
PIMA-INDIANS,classf,brkga,14,3,0.4039649336123587,0.1364020139791444,-0.383773,27.16,20,0
PIMA-INDIANS,classf,brkga,15,2,0.3359238275265641,-0.008376904525607779,-0.449776,25.46,20,0
PIMA-INDIANS,classf,brkga,16,2,0.36030762320151427,-0.00617958119174148,-0.47556,33.43,20,0
PIMA-INDIANS,classf,brkga,17,2,0.4042644400933937,0.005230524535273069,-0.44485,34.53,20,0
PIMA-INDIANS,classf,brkga,18,2,0.2873921969466924,-0.0137686435098671,-0.41038,56.3,20,0
PIMA-INDIANS,classf,brkga,19,2,0.3673688908798161,-0.004885878186695865,-0.474715,34.77,20,0
