dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
PIMA-INDIANS,classf,ils,0,2,0.44625769681212024,0.00660893838064985,-0.497831,28.43,20,0
PIMA-INDIANS,classf,ils,1,2,0.3788811813593892,-0.005059311532034758,-0.506217,52.23,20,0
PIMA-INDIANS,classf,ils,2,3,0.4278942719822846,0.1437608919215534,-0.400988,62.94,20,0
PIMA-INDIANS,classf,ils,3,5,0.38282396540881813,0.10275528448227943,-0.375935,24.55,20,0
PIMA-INDIANS,classf,ils,4,2,0.41665694512208407,0.0013677074796206823,-0.508515,20.79,20,0
PIMA-INDIANS,classf,ils,5,3,0.4448355575474859,0.07806984486669721,-0.387788,55.35,20,0
PIMA-INDIANS,classf,ils,6,5,0.24071555012149212,0.14305915495471677,-0.4022,60.73,20,0
PIMA-INDIANS,classf,ils,7,3,0.40535609958469665,0.15666871189474232,-0.392942,61.15,20,0
PIMA-INDIANS,classf,ils,8,2,0.4229228473399131,-0.0018169278762963986,-0.512374,36.54,20,0
PIMA-INDIANS,classf,ils,9,3,0.27963612386965764,0.13558650027053257,-0.351921,52.37,20,0
PIMA-INDIANS,classf,ils,10,2,0.4117984592484738,0.0052543810334849264,-0.45703,62.15,20,0
PIMA-INDIANS,classf,ils,11,4,0.40369356253098987,0.1361453291769636,-0.406025,43.53,20,0
PIMA-INDIANS,classf,ils,12,3,0.389636016507655,0.1442670960050965,-0.38228,31.2,20,0
PIMA-INDIANS,classf,ils,13,2,0.3741332746862436,-0.007475171061790595,-0.502777,43.46,20,0
PIMA-INDIANS,classf,ils,14,3,0.41846055883879835,0.14731589314811533,-0.398726,48.75,20,0
PIMA-INDIANS,classf,ils,15,4,0.3213664401453847,0.15517080229633326,-0.387263,20.67,20,0
PIMA-INDIANS,classf,ils,16,3,0.4141308434065031,0.14956685542997059,-0.390032,52.02,20,0
PIMA-INDIANS,classf,ils,17,3,0.4076571518904509,0.16113065591639167,-0.401545,55.79,20,0
PIMA-INDIANS,classf,ils,18,3,0.40946273637265856,0.14968506981361174,-0.39565,61.21,20,0
PIMA-INDIANS,classf,ils,19,2,0.39613342065418766,0.08310224391833497,-0.355908,54.77,20,0
