dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
PIMA-INDIANS,classf,vns,0,5,0.3079598271749045,0.08388446590114453,-0.3575,52.82,20,0
PIMA-INDIANS,classf,vns,1,4,0.3686994616258857,0.10174569688717755,-0.369691,59.45,20,0
PIMA-INDIANS,classf,vns,2,3,0.407184381869364,0.15056744807133154,-0.393939,59.09,20,0
PIMA-INDIANS,classf,vns,3,2,0.47297934497429217,0.09076783283680298,-0.380289,37.6,20,0
PIMA-INDIANS,classf,vns,4,2,0.47357307332670046,0.08550219648879034,-0.382144,57.47,20,0
PIMA-INDIANS,classf,vns,5,3,0.4217768812708199,0.13493567833365225,-0.389189,55.17,20,0
PIMA-INDIANS,classf,vns,6,2,0.47368859802683766,0.08834608123832967,-0.380281,54.58,20,0
PIMA-INDIANS,classf,vns,7,5,0.34593833888497827,0.14095748588402576,-0.399653,57.71,20,0
PIMA-INDIANS,classf,vns,8,3,0.3815002893993887,0.15947802332741007,-0.382943,49.16,20,0
PIMA-INDIANS,classf,vns,9,2,0.4725715368055152,0.09350033720942641,-0.382973,54.63,20,0
PIMA-INDIANS,classf,vns,10,4,0.3265290232200591,0.14093047157848662,-0.379991,33.96,20,0
PIMA-INDIANS,classf,vns,11,3,0.403542731450134,0.15305364974304472,-0.389666,49.79,20,0
PIMA-INDIANS,classf,vns,12,2,0.443432527016419,0.00661248390901108,-0.49758,25.43,20,0
PIMA-INDIANS,classf,vns,13,3,0.43517574410716786,0.15021798656270902,-0.410193,62.16,20,0
PIMA-INDIANS,classf,vns,14,2,0.47858709160158874,0.08395042599071695,-0.384099,24.91,20,0
PIMA-INDIANS,classf,vns,15,3,0.4102270320731674,0.15034297582737782,-0.385873,57.38,20,0
PIMA-INDIANS,classf,vns,16,4,0.20497220596839263,0.14735706407771149,-0.393074,59.64,20,0
PIMA-INDIANS,classf,vns,17,3,0.41331547082905457,0.15019222737610685,-0.397279,60.24,20,0
PIMA-INDIANS,classf,vns,18,3,0.40760057879817757,0.15093313012774268,-0.392518,62.59,20,0
PIMA-INDIANS,classf,vns,19,2,0.4530368249469583,0.006472849332699071,-0.522476,45.03,20,0
