dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
R15,classf,brkga,0,8,0.6472536185129705,0.26261813752601476,-0.647502,26.16,20,0
R15,classf,brkga,1,8,0.6505051471204674,0.25862701496375673,-0.650746,17.55,20,0
R15,classf,brkga,2,8,0.6429265211192298,0.2607719326290809,-0.643173,53.06,20,0
R15,classf,brkga,3,9,0.5872450699963931,0.26043579389442983,-0.633301,30.61,20,0
R15,classf,brkga,4,15,0.6111615903346511,0.791543252920083,-0.609163,14.11,20,0
R15,classf,brkga,5,8,0.6284674392029027,0.2563276260573932,-0.628731,51.93,20,0
R15,classf,brkga,6,8,0.6454389182753341,0.2622194227403368,-0.645696,31.98,20,0
R15,classf,brkga,7,12,0.5726556779806822,0.6166036887891303,-0.615138,51.62,20,0
R15,classf,brkga,8,8,0.6555671822344974,0.2642607202879566,-0.655832,30.87,20,0
R15,classf,brkga,9,8,0.6546873616068464,0.26458311797433104,-0.654883,33.88,20,0
R15,classf,brkga,10,8,0.623794394529737,0.2534888181571652,-0.624056,31.47,20,0
R15,classf,brkga,11,11,0.6275361158517896,0.6699450195436076,-0.628089,61.82,20,0
R15,classf,brkga,12,8,0.6475605264303268,0.25898962338348647,-0.647752,18.5,20,0
R15,classf,brkga,13,8,0.6483110589875036,0.258030891343105,-0.648534,18.83,20,0
R15,classf,brkga,14,11,0.6114427204939508,0.6660768520282071,-0.611465,57.28,20,0
R15,classf,brkga,15,8,0.64580957574863,0.2600870467259412,-0.646019,35.4,20,0
R15,classf,brkga,16,8,0.6478799385100567,0.2600352226291638,-0.648089,18.56,20,0
R15,classf,brkga,17,8,0.6242979999041313,0.2656844495728154,-0.624105,50.71,20,0
R15,classf,brkga,18,8,0.6571644852258113,0.2650920219617335,-0.657405,28.0,20,0
R15,classf,brkga,19,9,0.6024485769643239,0.2567526267600001,-0.645548,18.57,20,0
