dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
R15,classf,ils,0,11,0.5537716224041331,0.6904899495543683,-0.556537,46.11,20,0
R15,classf,ils,1,8,0.640647650907564,0.26085520119385186,-0.64079,63.01,20,0
R15,classf,ils,2,8,0.6540004939041256,0.26267656298433517,-0.654217,43.1,20,0
R15,classf,ils,3,8,0.6566152156884496,0.2681560571360043,-0.656843,63.0,20,0
R15,classf,ils,4,12,0.5641634811723117,0.7117417891938208,-0.595136,29.31,20,0
R15,classf,ils,5,14,0.616974589523725,0.7822452135428603,-0.654626,42.18,20,0
R15,classf,ils,6,8,0.6540206563010618,0.2655454941518435,-0.654257,59.24,20,0
R15,classf,ils,7,9,0.6119908031230215,0.26022803145188367,-0.658983,60.51,20,0
R15,classf,ils,8,11,0.6413960367853502,0.6893285086113882,-0.641572,54.61,20,0
R15,classf,ils,9,8,0.657393645277229,0.2642366924478948,-0.65756,51.05,20,0
R15,classf,ils,10,12,0.5541153827499935,0.7264992536902057,-0.552504,59.66,20,0
R15,classf,ils,11,15,0.6995296848180822,0.9043702833379781,-0.699853,48.81,20,0
R15,classf,ils,12,8,0.6614012788697654,0.27307468450359806,-0.661654,50.81,20,0
R15,classf,ils,13,8,0.6566046124916891,0.26513049287183027,-0.656809,34.23,20,0
R15,classf,ils,14,8,0.6591758781180528,0.27138272329672536,-0.659443,44.15,20,0
R15,classf,ils,15,11,0.5735024999109275,0.5323341351154383,-0.61717,32.95,20,0
R15,classf,ils,16,8,0.654801259605695,0.2694971851887921,-0.654966,40.74,20,0
R15,classf,ils,17,11,0.6421243978740079,0.6835669788764135,-0.64233,61.9,20,0
R15,classf,ils,18,14,0.6176545818274154,0.8159164032703571,-0.656209,58.42,20,0
R15,classf,ils,19,15,0.7152072357806514,0.9291837775518625,-0.715627,63.23,20,0
