dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
R15,classf,vns,0,12,0.6317513220127158,0.7517479332999808,-0.633187,54.61,20,0
R15,classf,vns,1,12,0.5711679578395086,0.7018547784271113,-0.573764,60.31,20,0
R15,classf,vns,2,11,0.5763932193455156,0.5648620067206815,-0.618727,60.77,20,0
R15,classf,vns,3,11,0.6455265577215517,0.7076628803444994,-0.645862,37.49,20,0
R15,classf,vns,4,15,0.7099486053178096,0.919662521682057,-0.710281,62.0,20,0
R15,classf,vns,5,13,0.5907939858012898,0.7033124435460874,-0.624455,1.65,20,0
R15,classf,vns,6,8,0.6589064857270945,0.2676216652852641,-0.659137,23.16,20,0
R15,classf,vns,7,10,0.5728776231241222,0.25439619299753025,-0.657959,61.48,20,0
R15,classf,vns,8,9,0.5899500456707362,0.46275935894429093,-0.593636,1.04,20,0
R15,classf,vns,9,14,0.6339374610467792,0.8260816896370813,-0.674262,47.68,20,0
R15,classf,vns,10,9,0.6206080556122632,0.25875132547047397,-0.660827,47.86,20,0
R15,classf,vns,11,9,0.6020524778436425,0.4633521923903696,-0.608733,56.17,20,0
R15,classf,vns,12,13,0.6457737325475827,0.8114104981433953,-0.646801,51.46,20,0
R15,classf,vns,13,10,0.6229827642755527,0.5870766388528402,-0.622909,56.37,20,0
R15,classf,vns,14,13,0.6168793972954486,0.7981256279971822,-0.620755,45.53,20,0
R15,classf,vns,15,8,0.659101616639913,0.26482285698691593,-0.659394,57.98,20,0
R15,classf,vns,16,12,0.6224579384167855,0.7422910448952104,-0.624857,60.84,20,0
R15,classf,vns,17,8,0.6582013241037324,0.26876299589972735,-0.65841,55.15,20,0
R15,classf,vns,18,10,0.6084560259521918,0.5819387995921108,-0.60892,26.11,20,0
R15,classf,vns,19,15,0.7100239966158279,0.9251077358597173,-0.710311,29.84,20,0
