dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
RUSPINI,clust,brkga,0,4,0.7768457459828172,,-0.779417,43.89,20,0
RUSPINI,clust,brkga,1,4,0.7855950840502764,,-0.78943,18.36,20,0
RUSPINI,clust,brkga,2,3,0.558029059350178,,-0.780993,13.81,20,0
RUSPINI,clust,brkga,3,4,0.7849096087171308,,-0.786484,54.23,20,0
RUSPINI,clust,brkga,4,4,0.7892050411551643,,-0.790655,47.75,20,0
RUSPINI,clust,brkga,5,4,0.7833606385211488,,-0.786272,28.5,20,0
RUSPINI,clust,brkga,6,3,0.5722073460620306,,-0.785128,23.64,20,0
RUSPINI,clust,brkga,7,3,0.5722073460620306,,-0.785128,45.93,20,0
RUSPINI,clust,brkga,8,4,0.7887936944499873,,-0.787306,23.15,20,0
RUSPINI,clust,brkga,9,4,0.7933577711727569,,-0.791093,43.06,20,0
RUSPINI,clust,brkga,10,3,0.5730944487489027,,-0.785711,57.2,20,0
RUSPINI,clust,brkga,11,4,0.7827298126654605,,-0.783758,53.98,20,0
RUSPINI,clust,brkga,12,3,0.6286387151834936,,-0.786037,58.34,20,0
RUSPINI,clust,brkga,13,4,0.7840975759106398,,-0.788206,33.41,20,0
RUSPINI,clust,brkga,14,4,0.7797167864079845,,-0.782721,22.04,20,0
RUSPINI,clust,brkga,15,4,0.7763738161577373,,-0.779644,23.83,20,0
RUSPINI,clust,brkga,16,4,0.7763738161577373,,-0.779644,59.71,20,0
RUSPINI,clust,brkga,17,3,0.5675738594220966,,-0.785936,30.88,20,0
RUSPINI,clust,brkga,18,3,0.5886635914845924,,-0.788648,28.33,20,0
RUSPINI,clust,brkga,19,4,0.7819205080411546,,-0.786052,32.12,20,0
