dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
RUSPINI,clust,ils,0,3,0.5759629923997205,,-0.800153,33.09,20,0
RUSPINI,clust,ils,1,4,0.7893478448454273,,-0.792032,45.24,20,0
RUSPINI,clust,ils,2,2,0.4433936814013041,,-0.79513,50.13,20,0
RUSPINI,clust,ils,3,4,0.7915130394838583,,-0.794495,17.17,20,0
RUSPINI,clust,ils,4,4,0.7935387898778997,,-0.792876,28.34,20,0
RUSPINI,clust,ils,5,2,0.4155729901791927,,-0.797565,42.9,20,0
RUSPINI,clust,ils,6,2,0.4433936814013041,,-0.79513,48.63,20,0
RUSPINI,clust,ils,7,3,0.5411004563148122,,-0.792516,37.67,20,0
RUSPINI,clust,ils,8,4,0.7946418956532473,,-0.794568,23.27,20,0
RUSPINI,clust,ils,9,4,0.7822406877400245,,-0.783849,60.18,20,0
RUSPINI,clust,ils,10,4,0.7892050411551643,,-0.790655,40.1,20,0
RUSPINI,clust,ils,11,4,0.795057420395823,,-0.798435,54.54,20,0
RUSPINI,clust,ils,12,3,0.5751196084071689,,-0.784419,10.92,20,0
RUSPINI,clust,ils,13,3,0.5698580709406867,,-0.788212,34.19,20,0
RUSPINI,clust,ils,14,4,0.7867368197765566,,-0.789686,24.61,20,0
RUSPINI,clust,ils,15,4,0.7886411529696209,,-0.790052,15.63,20,0
RUSPINI,clust,ils,16,4,0.7782007625381421,,-0.780053,29.48,20,0
RUSPINI,clust,ils,17,3,0.5595032479627255,,-0.780798,59.38,20,0
RUSPINI,clust,ils,18,4,0.7853194780258576,,-0.786954,13.19,20,0
RUSPINI,clust,ils,19,4,0.7826221408502265,,-0.78177,57.59,20,0
