dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
RUSPINI,clust,vns,0,3,0.5783559166613298,,-0.790655,25.09,20,0
RUSPINI,clust,vns,1,3,0.5728546224025487,,-0.788479,43.44,20,0
RUSPINI,clust,vns,2,4,0.7812807400793622,,-0.785538,48.84,20,0
RUSPINI,clust,vns,3,3,0.5783559166613298,,-0.790655,35.1,20,0
RUSPINI,clust,vns,4,4,0.7886411529696209,,-0.790052,54.47,20,0
RUSPINI,clust,vns,5,4,0.782394104991735,,-0.782002,26.19,20,0
RUSPINI,clust,vns,6,4,0.7855264692973907,,-0.789107,35.2,20,0
RUSPINI,clust,vns,7,3,0.5607502603979194,,-0.789686,18.57,20,0
RUSPINI,clust,vns,8,4,0.7893478448454273,,-0.792032,34.98,20,0
RUSPINI,clust,vns,9,4,0.7946068034815708,,-0.791411,57.17,20,0
RUSPINI,clust,vns,10,4,0.7870109324080677,,-0.791132,53.88,20,0
RUSPINI,clust,vns,11,4,0.7847180266380129,,-0.786578,44.77,20,0
RUSPINI,clust,vns,12,3,0.5897193983633686,,-0.783534,59.12,20,0
RUSPINI,clust,vns,13,4,0.7893478448454273,,-0.792032,60.92,20,0
RUSPINI,clust,vns,14,4,0.7840975759106398,,-0.788206,59.99,20,0
RUSPINI,clust,vns,15,4,0.7891340367942601,,-0.791227,59.99,20,0
RUSPINI,clust,vns,16,3,0.6029752171920788,,-0.793624,39.42,20,0
RUSPINI,clust,vns,17,4,0.7891340367942601,,-0.791227,20.23,20,0
RUSPINI,clust,vns,18,4,0.7946068034815708,,-0.791411,46.66,20,0
RUSPINI,clust,vns,19,3,0.5713115054517733,,-0.786999,41.35,20,0
