dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
SEEDS,classf,ils,0,3,0.5341220790337015,0.7101259639142589,-0.534139,63.64,20,0
SEEDS,classf,ils,1,3,0.5046673038379624,0.8064575024284683,-0.48571,29.74,20,0
SEEDS,classf,ils,2,4,0.38043295479351186,0.5706343113773727,-0.512625,51.25,20,0
SEEDS,classf,ils,3,3,0.5210935730587738,0.717336350172693,-0.518756,59.09,20,0
SEEDS,classf,ils,4,3,0.5040627773798885,0.6438651638465892,-0.524158,62.03,20,0
SEEDS,classf,ils,5,3,0.5321754146604183,0.6638928191545527,-0.541088,61.81,20,0
SEEDS,classf,ils,6,2,0.4866531555175653,0.3643839753724785,-0.414522,22.21,20,0
SEEDS,classf,ils,7,3,0.5272723701316954,0.7197946449800664,-0.525239,60.56,20,0
SEEDS,classf,ils,8,4,0.43726058731167416,0.6505472393523256,-0.534698,61.22,20,0
SEEDS,classf,ils,9,3,0.4993625065045435,0.6425749841144718,-0.514859,60.05,20,0
SEEDS,classf,ils,10,3,0.44576279021673426,0.5283142808579386,-0.453654,60.35,20,0
SEEDS,classf,ils,11,4,0.3780550129559314,0.5637488473104714,-0.496646,50.14,20,0
SEEDS,classf,ils,12,3,0.5190012426103205,0.6616583812579654,-0.531611,60.19,20,0
SEEDS,classf,ils,13,4,0.3735139747862856,0.5045835654997985,-0.468766,43.08,20,0
SEEDS,classf,ils,14,4,0.42186413605499407,0.652407351544156,-0.508605,33.97,20,0
SEEDS,classf,ils,15,3,0.4861461925895865,0.80023975859262,-0.465568,49.78,20,0
SEEDS,classf,ils,16,3,0.5241842684998113,0.6707423333106565,-0.538759,62.52,20,0
SEEDS,classf,ils,17,4,0.35191769549359536,0.5634244899842751,-0.467022,16.63,20,0
SEEDS,classf,ils,18,3,0.4921500965705001,0.7894003698937163,-0.475827,62.63,20,0
SEEDS,classf,ils,19,3,0.5025576015342106,0.5823867204410357,-0.509803,62.26,20,0
