dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
SEEDS,classf,vns,0,3,0.45306597410623894,0.7120412042341706,-0.421616,63.29,20,0
SEEDS,classf,vns,1,3,0.5355293012502178,0.7086580035855313,-0.535631,57.21,20,0
SEEDS,classf,vns,2,3,0.5328438645895724,0.6671001919915731,-0.542189,54.01,20,0
SEEDS,classf,vns,3,2,0.33201423131323077,0.33785283855246284,-0.503002,61.89,20,0
SEEDS,classf,vns,4,3,0.41245880991550266,0.5846281090351217,-0.477535,41.82,20,0
SEEDS,classf,vns,5,3,0.5030709647051766,0.6728545737140389,-0.498941,22.96,20,0
SEEDS,classf,vns,6,2,0.3513076852953756,0.34723869447009753,-0.544671,45.81,20,0
SEEDS,classf,vns,7,1,,0.0,-0.410786,30.27,20,0
SEEDS,classf,vns,8,3,0.31963080322695553,0.3858369206466704,-0.518758,45.19,20,0
SEEDS,classf,vns,9,3,0.5223007502366619,0.6534932461729834,-0.528678,53.32,20,0
SEEDS,classf,vns,10,3,0.5275907240948715,0.6430761358470116,-0.538796,57.34,20,0
SEEDS,classf,vns,11,5,0.3511001009685693,0.599081727664632,-0.520397,41.61,20,0
SEEDS,classf,vns,12,2,0.34762700510626615,0.3464159373452893,-0.532963,54.04,20,0
SEEDS,classf,vns,13,3,0.3524344688846452,0.5162092445808891,-0.544811,38.82,20,0
SEEDS,classf,vns,14,4,0.43825746945522964,0.7056806135005765,-0.522581,57.96,20,0
SEEDS,classf,vns,15,3,0.4769133592531586,0.6204573459979836,-0.497354,55.19,20,0
SEEDS,classf,vns,16,3,0.4759730659786285,0.5881137162181126,-0.478837,59.91,20,0
SEEDS,classf,vns,17,3,0.4537537850361114,0.6261074761568304,-0.469755,35.35,20,0
SEEDS,classf,vns,18,2,0.341240757927151,0.338416413913011,-0.499725,40.7,20,0
SEEDS,classf,vns,19,3,0.5326007192247701,0.6668674255175896,-0.544163,60.65,20,0
