dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
SONAR,clust,brkga,0,2,0.46060179934295153,,-0.476293,64.79,20,0
SONAR,clust,brkga,1,2,0.4809679570216354,,-0.509834,29.99,20,0
SONAR,clust,brkga,2,2,0.4625573909843241,,-0.480849,56.07,20,0
SONAR,clust,brkga,3,2,0.48782303839388025,,-0.529322,59.94,20,0
SONAR,clust,brkga,4,2,0.48380030836401927,,-0.510832,61.33,20,0
SONAR,clust,brkga,5,2,0.48684522671314273,,-0.521687,57.15,20,0
SONAR,clust,brkga,6,2,0.4677644026202007,,-0.492218,61.4,20,0
SONAR,clust,brkga,7,2,0.4610504784022265,,-0.485239,60.03,20,0
SONAR,clust,brkga,8,2,0.47679783070591336,,-0.510485,54.32,20,0
SONAR,clust,brkga,9,2,0.4892510590802987,,-0.50742,29.47,20,0
SONAR,clust,brkga,10,2,0.4476324123804892,,-0.473458,34.02,20,0
SONAR,clust,brkga,11,2,0.46078109419444635,,-0.490027,62.21,20,0
SONAR,clust,brkga,12,2,0.49056092177490374,,-0.529254,28.62,20,0
SONAR,clust,brkga,13,2,0.49244416315162276,,-0.507827,59.87,20,0
SONAR,clust,brkga,14,2,0.4963507184506966,,-0.529403,62.82,20,0
SONAR,clust,brkga,15,2,0.46034025153597513,,-0.474133,26.53,20,0
SONAR,clust,brkga,16,2,0.4963507184506966,,-0.529403,62.56,20,0
SONAR,clust,brkga,17,2,0.48680788757423155,,-0.526925,57.66,20,0
SONAR,clust,brkga,18,2,0.48093245713396954,,-0.503749,60.48,20,0
SONAR,clust,brkga,19,2,0.4581674380620264,,-0.478056,32.68,20,0
