dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
SONAR,clust,ils,0,4,0.4277917579672673,,-0.440224,64.48,20,0
SONAR,clust,ils,1,3,0.42490415889515065,,-0.451807,61.48,20,0
SONAR,clust,ils,2,2,0.5303248390785673,,-0.572189,32.33,20,0
SONAR,clust,ils,3,2,0.46690560230755124,,-0.474969,51.73,20,0
SONAR,clust,ils,4,2,0.49223498007882205,,-0.497643,40.4,20,0
SONAR,clust,ils,5,3,0.4781014399974404,,-0.476311,50.44,20,0
SONAR,clust,ils,6,2,0.4684531196724801,,-0.472347,57.65,20,0
SONAR,clust,ils,7,2,0.4819440504961434,,-0.492966,29.79,20,0
SONAR,clust,ils,8,2,0.5178897413870795,,-0.53614,62.15,20,0
SONAR,clust,ils,9,3,0.4505126376388359,,-0.446117,35.82,20,0
SONAR,clust,ils,10,2,0.47603207877404,,-0.481079,37.51,20,0
SONAR,clust,ils,11,2,0.4704901123883167,,-0.491151,52.11,20,0
SONAR,clust,ils,12,2,0.5191019071817532,,-0.559839,41.56,20,0
SONAR,clust,ils,13,2,0.5260468307730232,,-0.571219,26.23,20,0
SONAR,clust,ils,14,2,0.5064710275957635,,-0.52198,30.12,20,0
SONAR,clust,ils,15,2,0.5098199135051705,,-0.550275,42.64,20,0
SONAR,clust,ils,16,2,0.5351729630875822,,-0.580981,54.65,20,0
SONAR,clust,ils,17,2,0.46784588946372463,,-0.48847,59.07,20,0
SONAR,clust,ils,18,2,0.46897188210512764,,-0.482736,42.29,20,0
SONAR,clust,ils,19,2,0.48804304275278626,,-0.499152,59.43,20,0
