dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
SONAR,clust,vns,0,2,0.5095487322843001,,-0.553752,60.59,20,0
SONAR,clust,vns,1,2,0.5378234460240948,,-0.581653,51.42,20,0
SONAR,clust,vns,2,2,0.5351729630875822,,-0.580981,62.67,20,0
SONAR,clust,vns,3,2,0.5059328573177027,,-0.541978,58.24,20,0
SONAR,clust,vns,4,2,0.5388883304471448,,-0.584538,41.72,20,0
SONAR,clust,vns,5,2,0.5263955162960358,,-0.569404,35.74,20,0
SONAR,clust,vns,6,4,0.4672548522881469,,-0.472968,52.03,20,0
SONAR,clust,vns,7,2,0.4798627812387067,,-0.479878,50.15,20,0
SONAR,clust,vns,8,2,0.49440221327779454,,-0.506148,47.28,20,0
SONAR,clust,vns,9,2,0.47154084735806323,,-0.480205,44.12,20,0
SONAR,clust,vns,10,2,0.5100277474183729,,-0.526357,50.85,20,0
SONAR,clust,vns,11,2,0.4823046053398854,,-0.480785,45.17,20,0
SONAR,clust,vns,12,3,0.4903211055238552,,-0.488086,59.62,20,0
SONAR,clust,vns,13,2,0.48411927792625375,,-0.495307,56.61,20,0
SONAR,clust,vns,14,2,0.466743747255155,,-0.478324,27.18,20,0
SONAR,clust,vns,15,2,0.4914714779131694,,-0.519588,37.41,20,0
SONAR,clust,vns,16,2,0.458179566444596,,-0.4604,31.38,20,0
SONAR,clust,vns,17,2,0.515437130815097,,-0.555144,61.08,20,0
SONAR,clust,vns,18,2,0.4917322988469272,,-0.500345,59.53,20,0
SONAR,clust,vns,19,3,0.48571976463283184,,-0.485759,59.26,20,0
