dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
SPHERICAL4D3C,clust,brkga,0,4.0,0.3816624990007666,,-0.40555,34.76,20.0,0.0
SPHERICAL4D3C,clust,brkga,1,,,,,,,
SPHERICAL4D3C,clust,brkga,2,5.0,0.33767155447620995,,-0.340007,0.09,20.0,0.0
SPHERICAL4D3C,clust,brkga,3,2.0,0.49270282131320636,,-0.383138,5.89,20.0,0.0
SPHERICAL4D3C,clust,brkga,4,5.0,0.34508499472976695,,-0.345587,8.49,20.0,0.0
SPHERICAL4D3C,clust,brkga,5,3.0,0.4019884445554816,,-0.349252,8.25,20.0,0.0
SPHERICAL4D3C,clust,brkga,6,4.0,0.3473439539128311,,-0.365691,22.99,20.0,0.0
SPHERICAL4D3C,clust,brkga,7,3.0,0.40862879043488487,,-0.352626,6.15,20.0,0.0
SPHERICAL4D3C,clust,brkga,8,4.0,0.27180967914315873,,-0.287192,6.17,20.0,0.0
SPHERICAL4D3C,clust,brkga,9,3.0,0.33460707935667944,,-0.355779,5.34,20.0,0.0
SPHERICAL4D3C,clust,brkga,10,4.0,0.407688599105294,,-0.336025,19.25,20.0,0.0
SPHERICAL4D3C,clust,brkga,11,4.0,0.37269609084881344,,-0.396163,15.29,20.0,0.0
SPHERICAL4D3C,clust,brkga,12,3.0,0.339210112748585,,-0.355582,0.26,20.0,0.0
SPHERICAL4D3C,clust,brkga,13,4.0,0.37868142888927736,,-0.406042,39.25,20.0,0.0
SPHERICAL4D3C,clust,brkga,14,4.0,0.37444454357694656,,-0.400279,26.61,20.0,0.0
SPHERICAL4D3C,clust,brkga,15,4.0,0.37606107745103956,,-0.401155,8.5,20.0,0.0
SPHERICAL4D3C,clust,brkga,16,4.0,0.3786105654785766,,-0.404763,26.73,20.0,0.0
SPHERICAL4D3C,clust,brkga,17,4.0,0.37946509529962313,,-0.404214,62.81,20.0,0.0
SPHERICAL4D3C,clust,brkga,18,4.0,0.3752029251332342,,-0.40302,58.15,20.0,0.0
SPHERICAL4D3C,clust,brkga,19,4.0,0.37746304255074714,,-0.403281,30.64,20.0,0.0
