dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
SPHERICAL4D3C,clust,ils,0,2,0.4693779310190728,,-0.374323,0.21,20,0
SPHERICAL4D3C,clust,ils,1,4,0.39374681286350066,,-0.41959,56.72,20,0
SPHERICAL4D3C,clust,ils,2,9,0.44244799558785874,,-0.37375,52.5,20,0
SPHERICAL4D3C,clust,ils,3,4,0.3758300853145593,,-0.399717,62.41,20,0
SPHERICAL4D3C,clust,ils,4,4,0.35215692381999736,,-0.380157,23.99,20,0
SPHERICAL4D3C,clust,ils,5,4,0.4220691707702322,,-0.399897,30.01,20,0
SPHERICAL4D3C,clust,ils,6,4,0.3794535324476334,,-0.405478,60.88,20,0
SPHERICAL4D3C,clust,ils,7,4,0.3936016152396258,,-0.421775,29.85,20,0
SPHERICAL4D3C,clust,ils,8,8,0.3843399436048291,,-0.381161,22.25,20,0
SPHERICAL4D3C,clust,ils,9,3,0.44264428704878717,,-0.408128,52.3,20,0
SPHERICAL4D3C,clust,ils,10,3,0.43847859536191586,,-0.403294,60.51,20,0
SPHERICAL4D3C,clust,ils,11,3,0.44265035899764393,,-0.407064,38.58,20,0
SPHERICAL4D3C,clust,ils,12,5,0.3554346559500254,,-0.360716,36.88,20,0
SPHERICAL4D3C,clust,ils,13,4,0.4022735494081595,,-0.4279,26.01,20,0
SPHERICAL4D3C,clust,ils,14,6,0.39949368713550765,,-0.367282,58.48,20,0
SPHERICAL4D3C,clust,ils,15,8,0.284289342951851,,-0.367636,42.44,20,0
SPHERICAL4D3C,clust,ils,16,2,0.30660917555390876,,-0.38919,54.74,20,0
SPHERICAL4D3C,clust,ils,17,10,0.46608337088722923,,-0.432835,36.06,20,0
SPHERICAL4D3C,clust,ils,18,10,0.3588515598532139,,-0.390419,51.07,20,0
SPHERICAL4D3C,clust,ils,19,4,0.3808291058197756,,-0.408272,29.92,20,0
