dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
SPHERICAL4D3C,clust,vns,0,3.0,0.4433045632196068,,-0.404932,35.18,20.0,0.0
SPHERICAL4D3C,clust,vns,1,,,,,,,
SPHERICAL4D3C,clust,vns,2,4.0,0.3753791572237277,,-0.400721,12.05,20.0,0.0
SPHERICAL4D3C,clust,vns,3,5.0,0.40389478529754375,,-0.344053,10.71,20.0,0.0
SPHERICAL4D3C,clust,vns,4,7.0,0.35308378579218985,,-0.377904,9.58,20.0,0.0
SPHERICAL4D3C,clust,vns,5,6.0,0.32933943546166666,,-0.322832,1.84,20.0,0.0
SPHERICAL4D3C,clust,vns,6,4.0,0.3830244739189567,,-0.412307,38.06,20.0,0.0
SPHERICAL4D3C,clust,vns,7,6.0,0.37370268568837756,,-0.283717,0.41,20.0,0.0
SPHERICAL4D3C,clust,vns,8,7.0,0.3186454723148952,,-0.29793,9.67,20.0,0.0
SPHERICAL4D3C,clust,vns,9,6.0,0.3326251662109531,,-0.334888,9.85,20.0,0.0
SPHERICAL4D3C,clust,vns,10,4.0,0.2903536539470089,,-0.313148,0.13,20.0,0.0
SPHERICAL4D3C,clust,vns,11,5.0,0.3603556706746155,,-0.333458,18.5,20.0,0.0
SPHERICAL4D3C,clust,vns,12,4.0,0.1302730302666818,,-0.367107,8.93,20.0,0.0
SPHERICAL4D3C,clust,vns,13,4.0,0.3794535324476334,,-0.405478,15.83,20.0,0.0
SPHERICAL4D3C,clust,vns,14,3.0,0.4402776953764272,,-0.400947,31.25,20.0,0.0
SPHERICAL4D3C,clust,vns,15,4.0,0.3877737050856093,,-0.418919,61.86,20.0,0.0
SPHERICAL4D3C,clust,vns,16,3.0,0.3705447199569591,,-0.385635,61.48,20.0,0.0
SPHERICAL4D3C,clust,vns,17,3.0,0.3851494465144738,,-0.396165,62.8,20.0,0.0
SPHERICAL4D3C,clust,vns,18,4.0,0.38754388908203513,,-0.415106,51.73,20.0,0.0
SPHERICAL4D3C,clust,vns,19,11.0,0.4250457174362581,,-0.402632,33.98,20.0,0.0
