dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
SPIRAL,classf,brkga,0,4,0.35992529316463573,-0.005382639581767757,-0.360091,33.76,20,0
SPIRAL,classf,brkga,1,4,0.3603003210429085,-0.004910133870190942,-0.360245,57.58,20,0
SPIRAL,classf,brkga,2,4,0.3618102495909816,-0.005496554906575438,-0.36192,58.2,20,0
SPIRAL,classf,brkga,3,4,0.3567084059828956,-0.006946995635940827,-0.356888,60.07,20,0
SPIRAL,classf,brkga,4,4,0.36944801991719206,-0.0038429938189960193,-0.369448,55.02,20,0
SPIRAL,classf,brkga,5,4,0.3608641361241754,-0.0033194705181582994,-0.360921,61.58,20,0
SPIRAL,classf,brkga,6,4,0.36191587536542696,-0.0058858961097689785,-0.362002,60.91,20,0
SPIRAL,classf,brkga,7,4,0.351602810681112,-0.004936369926996237,-0.351618,58.99,20,0
SPIRAL,classf,brkga,8,4,0.35613294696861647,-0.004012765026143907,-0.35612,58.13,20,0
SPIRAL,classf,brkga,9,4,0.3516787301874727,-0.006775522101091581,-0.351678,60.86,20,0
SPIRAL,classf,brkga,10,4,0.34514881364565553,-0.0062859863091344025,-0.34512,57.84,20,0
SPIRAL,classf,brkga,11,4,0.3647089852678736,-0.005100456377261522,-0.365011,57.75,20,0
SPIRAL,classf,brkga,12,4,0.3502113239033854,-0.004742238928746724,-0.350216,53.1,20,0
SPIRAL,classf,brkga,13,8,0.3510292119823795,0.04757034341606779,-0.351832,59.64,20,0
SPIRAL,classf,brkga,14,4,0.35791900325900844,-0.0036858831480709223,-0.358936,61.36,20,0
SPIRAL,classf,brkga,15,4,0.3494920861423448,-0.00480982901625791,-0.349611,36.18,20,0
SPIRAL,classf,brkga,16,5,0.35388016522869337,0.003961766136412725,-0.35388,57.03,20,0
SPIRAL,classf,brkga,17,4,0.3525990921371458,-0.004949386915654645,-0.35266,58.59,20,0
SPIRAL,classf,brkga,18,4,0.3587699763732729,-0.005869732736804968,-0.359005,59.04,20,0
SPIRAL,classf,brkga,19,5,0.3559406645075098,0.024393606201898083,-0.363136,61.58,20,0
