dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
SPIRAL,classf,ils,0,8,0.3759395616123422,0.059926060780495206,-0.375704,46.82,20,0
SPIRAL,classf,ils,1,10,0.3166944275825525,0.057610217008554926,-0.317127,40.6,20,0
SPIRAL,classf,ils,2,4,0.3755814699987048,-0.0007945311733973414,-0.376182,61.86,20,0
SPIRAL,classf,ils,3,4,0.39635208710864367,-0.005050420614288386,-0.396275,63.24,20,0
SPIRAL,classf,ils,4,4,0.3129946308512713,0.023450812730464503,-0.389215,49.52,20,0
SPIRAL,classf,ils,5,7,0.3420719701402799,0.06413432417775489,-0.34552,59.36,20,0
SPIRAL,classf,ils,6,5,0.3419297804858811,0.02186621854823449,-0.342211,48.93,20,0
SPIRAL,classf,ils,7,6,0.27358148039122643,0.043346858661910286,-0.31464,45.02,20,0
SPIRAL,classf,ils,8,6,0.3513051731777278,0.018792210626034478,-0.370077,37.11,20,0
SPIRAL,classf,ils,9,4,0.2213001039883843,0.021873394927394915,-0.357071,11.79,20,0
SPIRAL,classf,ils,10,7,0.36054271460327914,0.06953169408185446,-0.360265,60.44,20,0
SPIRAL,classf,ils,11,4,0.3676882487634122,0.0047617271925547685,-0.370008,47.83,20,0
SPIRAL,classf,ils,12,7,0.3410024514973071,0.08094634911496254,-0.340818,62.88,20,0
SPIRAL,classf,ils,13,10,0.31288393381276103,0.043531496426681894,-0.323928,32.62,20,0
SPIRAL,classf,ils,14,4,0.3971509744569165,-0.0007949306279015287,-0.400158,60.87,20,0
SPIRAL,classf,ils,15,4,0.3848312434910129,-0.0046218723617876215,-0.384918,63.42,20,0
SPIRAL,classf,ils,16,4,0.3946220968223902,-0.005286343471832593,-0.395202,32.58,20,0
SPIRAL,classf,ils,17,4,0.39332230955927094,-0.0058436266361505855,-0.394082,34.52,20,0
SPIRAL,classf,ils,18,4,0.39718629482894663,0.00018926296174639543,-0.397483,31.63,20,0
SPIRAL,classf,ils,19,4,0.3767159673971137,-0.004877730818754209,-0.376863,29.38,20,0
