dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
SPRDESP,clust,ils,0,2,0.7044072324551425,,-0.704572,55.65,20,0
SPRDESP,clust,ils,1,3,0.35820050971593004,,-0.358044,48.4,20,0
SPRDESP,clust,ils,2,2,0.7164375345626828,,-0.71566,58.04,20,0
SPRDESP,clust,ils,3,2,0.7072925963557376,,-0.707494,21.97,20,0
SPRDESP,clust,ils,4,2,0.7101512008854408,,-0.709717,38.01,20,0
SPRDESP,clust,ils,5,2,0.7023896490067928,,-0.70258,5.16,20,0
SPRDESP,clust,ils,6,2,0.7009178202125982,,-0.701275,57.63,20,0
SPRDESP,clust,ils,7,2,0.7108672641114424,,-0.710659,48.43,20,0
SPRDESP,clust,ils,8,2,0.6813757344940587,,-0.681012,60.33,20,0
SPRDESP,clust,ils,9,2,0.7075303278141738,,-0.707869,59.17,20,0
SPRDESP,clust,ils,10,3,0.39158770272291865,,-0.526483,55.58,20,0
SPRDESP,clust,ils,11,3,0.40428429697236173,,-0.563763,48.72,20,0
SPRDESP,clust,ils,12,2,0.5391396702838925,,-0.539436,60.24,20,0
SPRDESP,clust,ils,13,2,0.3604889548047945,,-0.353816,1.6,20,0
SPRDESP,clust,ils,14,2,0.6842325127872178,,-0.683932,60.71,20,0
SPRDESP,clust,ils,15,5,0.25349472369717824,,-0.332816,53.55,20,0
SPRDESP,clust,ils,16,2,0.7101512008854408,,-0.709717,50.6,20,0
SPRDESP,clust,ils,17,2,0.7143283299806092,,-0.713717,60.17,20,0
SPRDESP,clust,ils,18,2,0.5304065698317996,,-0.529157,62.54,20,0
SPRDESP,clust,ils,19,2,0.7129534039411305,,-0.712533,37.68,20,0
