dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
SYNTHETICCONTROL,clust,brkga,0,5,0.29893045985209427,,-0.349792,0.62,20,0
SYNTHETICCONTROL,clust,brkga,1,6,0.19682490205455938,,-0.28529,1.71,20,0
SYNTHETICCONTROL,clust,brkga,2,3,0.39122116162707476,,-0.35466,9.17,20,0
SYNTHETICCONTROL,clust,brkga,3,3,0.40269086758165046,,-0.375514,2.65,20,0
SYNTHETICCONTROL,clust,brkga,4,5,0.3789579001395087,,-0.388002,2.43,20,0
SYNTHETICCONTROL,clust,brkga,5,3,0.4047055381356261,,-0.411847,22.62,20,0
SYNTHETICCONTROL,clust,brkga,6,5,0.26923202104777444,,-0.354291,1.98,20,0
SYNTHETICCONTROL,clust,brkga,7,4,0.35339894185993204,,-0.338014,8.96,20,0
SYNTHETICCONTROL,clust,brkga,8,4,0.34672793534862545,,-0.332052,9.56,20,0
SYNTHETICCONTROL,clust,brkga,9,3,0.4183520950308173,,-0.418341,21.7,20,0
SYNTHETICCONTROL,clust,brkga,10,4,0.29689833601608606,,-0.329453,25.65,20,0
SYNTHETICCONTROL,clust,brkga,11,2,0.2840817026787101,,-0.373216,7.75,20,0
SYNTHETICCONTROL,clust,brkga,12,4,0.2326074440956685,,-0.421202,55.12,20,0
SYNTHETICCONTROL,clust,brkga,13,2,0.3375222773138419,,-0.415829,2.06,20,0
SYNTHETICCONTROL,clust,brkga,14,3,0.4229944346115554,,-0.420747,32.89,20,0
SYNTHETICCONTROL,clust,brkga,15,2,0.3339480417529695,,-0.417023,33.65,20,0
SYNTHETICCONTROL,clust,brkga,16,2,0.34152409598621425,,-0.423297,54.16,20,0
SYNTHETICCONTROL,clust,brkga,17,3,0.42877125560804163,,-0.418547,32.04,20,0
SYNTHETICCONTROL,clust,brkga,18,3,0.42703244065714047,,-0.419161,54.09,20,0
SYNTHETICCONTROL,clust,brkga,19,2,0.30221580565910144,,-0.391749,26.6,20,0
