dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
SYNTHETICCONTROL,clust,ils,0,5,0.29893045985209427,,-0.349792,0.52,20,0
SYNTHETICCONTROL,clust,ils,1,6,0.19682490205455938,,-0.28529,1.8,20,0
SYNTHETICCONTROL,clust,ils,2,3,0.35091808463573776,,-0.338556,0.51,20,0
SYNTHETICCONTROL,clust,ils,3,3,0.40269086758165046,,-0.375514,2.55,20,0
SYNTHETICCONTROL,clust,ils,4,5,0.3789579001395087,,-0.388002,2.39,20,0
SYNTHETICCONTROL,clust,ils,5,3,0.42121221406786347,,-0.397076,35.9,20,0
SYNTHETICCONTROL,clust,ils,6,5,0.26923202104777444,,-0.354291,1.96,20,0
SYNTHETICCONTROL,clust,ils,7,5,0.30893933261728174,,-0.28433,3.15,20,0
SYNTHETICCONTROL,clust,ils,8,6,0.34817765808099893,,-0.332962,9.59,20,0
SYNTHETICCONTROL,clust,ils,9,5,0.31576586898876724,,-0.316001,21.81,20,0
SYNTHETICCONTROL,clust,ils,10,3,0.34573368227108836,,-0.348933,25.32,20,0
SYNTHETICCONTROL,clust,ils,11,4,0.3895097478446658,,-0.35504,10.54,20,0
SYNTHETICCONTROL,clust,ils,12,6,0.27898511600075127,,-0.381394,54.31,20,0
SYNTHETICCONTROL,clust,ils,13,3,0.4457216422604075,,-0.439188,55.69,20,0
SYNTHETICCONTROL,clust,ils,14,5,0.3600001056301132,,-0.389749,53.92,20,0
SYNTHETICCONTROL,clust,ils,15,5,0.29867205568432875,,-0.346674,39.27,20,0
SYNTHETICCONTROL,clust,ils,16,3,0.43104573476357844,,-0.427172,34.95,20,0
SYNTHETICCONTROL,clust,ils,17,5,0.42328974935995617,,-0.401246,56.47,20,0
SYNTHETICCONTROL,clust,ils,18,5,0.28511994846530786,,-0.410252,29.32,20,0
SYNTHETICCONTROL,clust,ils,19,5,0.40581079415426263,,-0.398206,60.43,20,0
