dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
SYNTHETICCONTROL,clust,vns,0,3,0.4213,,,,20,
SYNTHETICCONTROL,clust,vns,1,4,0.2782,,,,20,
SYNTHETICCONTROL,clust,vns,2,3,0.4163,,,,20,
SYNTHETICCONTROL,clust,vns,3,3,0.4027,,,,20,
SYNTHETICCONTROL,clust,vns,4,3,0.4288,,,,20,
SYNTHETICCONTROL,clust,vns,5,3,0.4446,,,,20,
SYNTHETICCONTROL,clust,vns,6,3,0.4228,,,,20,
SYNTHETICCONTROL,clust,vns,7,5,0.3697,,,,20,
SYNTHETICCONTROL,clust,vns,8,3,0.4171,,,,20,
SYNTHETICCONTROL,clust,vns,9,4,0.4329,,,,20,
SYNTHETICCONTROL,clust,vns,10,3,0.3664,,,,20,
SYNTHETICCONTROL,clust,vns,11,3,0.4204,,,,20,
SYNTHETICCONTROL,clust,vns,12,5,0.274,,,,20,
SYNTHETICCONTROL,clust,vns,13,2,0.3375,,,,20,
SYNTHETICCONTROL,clust,vns,14,3,0.4276,,,,20,
SYNTHETICCONTROL,clust,vns,15,3,0.4396,,,,20,
SYNTHETICCONTROL,clust,vns,16,4,0.3135,,,,20,
SYNTHETICCONTROL,clust,vns,17,4,0.2684,,,,20,
SYNTHETICCONTROL,clust,vns,18,3,0.4325686610245313,,-0.430537,54.66,20,0.0
SYNTHETICCONTROL,clust,vns,19,4,0.34926386713643276,,-0.37762,58.7,20,0.0
