dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
TRIPADVISOR,clust,brkga,0,2.0,0.45068186944218674,,-0.410246,56.29,20.0,0.0
TRIPADVISOR,clust,brkga,1,2.0,0.3503122742188243,,-0.414848,11.33,20.0,0.0
TRIPADVISOR,clust,brkga,2,2.0,0.3627626093804668,,-0.423372,58.02,20.0,0.0
TRIPADVISOR,clust,brkga,3,2.0,0.37521288291006716,,-0.38569,42.9,20.0,0.0
TRIPADVISOR,clust,brkga,4,2.0,0.4091329668444514,,-0.357091,47.95,20.0,0.0
TRIPADVISOR,clust,brkga,5,2.0,0.3859097904774355,,-0.444317,51.01,20.0,0.0
TRIPADVISOR,clust,brkga,6,2.0,0.43426544416397594,,-0.395008,8.55,20.0,0.0
TRIPADVISOR,clust,brkga,7,2.0,0.40960902913080854,,-0.346956,35.45,20.0,0.0
TRIPADVISOR,clust,brkga,8,2.0,0.4420129909101729,,-0.502545,20.04,20.0,0.0
TRIPADVISOR,clust,brkga,9,5.0,0.2057184341577155,,-0.267772,3.42,20.0,0.0
TRIPADVISOR,clust,brkga,10,9.0,0.2381898041603179,,-0.266829,9.27,20.0,0.0
TRIPADVISOR,clust,brkga,11,3.0,0.3057850353508472,,-0.311727,10.41,20.0,0.0
TRIPADVISOR,clust,brkga,12,,,,,,,
TRIPADVISOR,clust,brkga,13,,,,,,,
TRIPADVISOR,clust,brkga,14,,,,,,,
TRIPADVISOR,clust,brkga,15,8.0,0.24495642362278683,,-0.25355,7.25,20.0,0.0
TRIPADVISOR,clust,brkga,16,7.0,0.2446400983980466,,-0.237903,1.82,20.0,0.0
TRIPADVISOR,clust,brkga,17,4.0,0.3235154431273528,,-0.336858,11.2,20.0,0.0
TRIPADVISOR,clust,brkga,18,2.0,0.23371444589056536,,-0.287502,12.83,20.0,0.0
TRIPADVISOR,clust,brkga,19,8.0,0.22412619534615774,,-0.229577,6.81,20.0,0.0
