dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
TRIPADVISOR,clust,ils,0,4.0,0.31531318746116044,,-0.333236,62.2,20.0,0.0
TRIPADVISOR,clust,ils,1,3.0,0.31005806936698327,,-0.458842,33.69,20.0,0.0
TRIPADVISOR,clust,ils,2,3.0,0.34624044947573823,,-0.347612,61.64,20.0,0.0
TRIPADVISOR,clust,ils,3,3.0,0.3336053416636384,,-0.453423,38.71,20.0,0.0
TRIPADVISOR,clust,ils,4,7.0,0.23007003987448993,,-0.309903,16.45,20.0,0.0
TRIPADVISOR,clust,ils,5,2.0,0.4500129428432503,,-0.50845,44.97,20.0,0.0
TRIPADVISOR,clust,ils,6,2.0,0.4508777466201127,,-0.501926,54.72,20.0,0.0
TRIPADVISOR,clust,ils,7,2.0,0.47242027525946356,,-0.487151,39.74,20.0,0.0
TRIPADVISOR,clust,ils,8,2.0,0.2700333154098973,,-0.3111,11.73,20.0,0.0
TRIPADVISOR,clust,ils,9,,,,,,,
TRIPADVISOR,clust,ils,10,3.0,0.2077669428617038,,-0.265597,1.21,20.0,0.0
TRIPADVISOR,clust,ils,11,,,,,,,
TRIPADVISOR,clust,ils,12,,,,,,,
TRIPADVISOR,clust,ils,13,,,,,,,
TRIPADVISOR,clust,ils,14,4.0,0.21477682936599096,,-0.268397,8.78,20.0,0.0
TRIPADVISOR,clust,ils,15,,,,,,,
TRIPADVISOR,clust,ils,16,7.0,0.2446400983980466,,-0.237903,1.7,20.0,0.0
TRIPADVISOR,clust,ils,17,4.0,0.2609021545146459,,-0.290413,16.64,20.0,0.0
TRIPADVISOR,clust,ils,18,4.0,0.27663132939721563,,-0.273438,3.2,20.0,0.0
TRIPADVISOR,clust,ils,19,2.0,0.33491155548834906,,-0.283369,12.27,20.0,0.0
