dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
TRIPADVISOR,clust,vns,0,2,0.4437,,,,20,
TRIPADVISOR,clust,vns,1,2,0.442,,,,20,
TRIPADVISOR,clust,vns,2,5,0.2977,,,,20,
TRIPADVISOR,clust,vns,3,3,0.3923,,,,20,
TRIPADVISOR,clust,vns,4,8,0.3088,,,,20,
TRIPADVISOR,clust,vns,5,3,0.3897,,,,20,
TRIPADVISOR,clust,vns,6,3,0.3815,,,,20,
TRIPADVISOR,clust,vns,7,3,0.3725,,,,20,
TRIPADVISOR,clust,vns,8,2,0.4292,,,,20,
TRIPADVISOR,clust,vns,9,11,0.2752,,,,20,
TRIPADVISOR,clust,vns,10,5,0.3306,,,,20,
TRIPADVISOR,clust,vns,11,4,0.2573,,,,20,
TRIPADVISOR,clust,vns,12,2,0.4428,,,,20,
TRIPADVISOR,clust,vns,13,2,0.4429,,,,20,
TRIPADVISOR,clust,vns,14,2,0.4429,,,,20,
TRIPADVISOR,clust,vns,15,3,0.3365,,,,20,
TRIPADVISOR,clust,vns,16,2,0.2973,,,,20,
TRIPADVISOR,clust,vns,17,4,0.2261,,,,20,
TRIPADVISOR,clust,vns,18,2,0.443730727055763,,-0.50255,41.49,20,0.0
TRIPADVISOR,clust,vns,19,2,0.4535594261142648,,-0.504804,37.14,20,0.0
