dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
UNIFORM700,clust,brkga,0,4,0.3164,,,,20,
UNIFORM700,clust,brkga,1,3,0.3049,,,,20,
UNIFORM700,clust,brkga,2,3,0.3446,,,,20,
UNIFORM700,clust,brkga,3,5,0.292,,,,20,
UNIFORM700,clust,brkga,4,5,0.3054,,,,20,
UNIFORM700,clust,brkga,5,3,0.3175,,,,20,
UNIFORM700,clust,brkga,6,3,0.3479,,,,20,
UNIFORM700,clust,brkga,7,4,0.3005,,,,20,
UNIFORM700,clust,brkga,8,2,0.3366,,,,20,
UNIFORM700,clust,brkga,9,3,0.2917,,,,20,
UNIFORM700,clust,brkga,10,4,0.3183,,,,20,
UNIFORM700,clust,brkga,11,6,0.2407,,,,20,
UNIFORM700,clust,brkga,12,4,0.3202,,,,20,
UNIFORM700,clust,brkga,13,8,0.2462,,,,20,
UNIFORM700,clust,brkga,14,3,0.2938,,,,20,
UNIFORM700,clust,brkga,15,4,0.3172,,,,20,
UNIFORM700,clust,brkga,16,5,0.2924,,,,20,
UNIFORM700,clust,brkga,17,5,0.2872,,,,20,
UNIFORM700,clust,brkga,18,3,0.2991,,,,20,
UNIFORM700,clust,brkga,19,2,0.3083104916324852,,-0.301329,53.56,20,0.0
