dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
UNIFORM700,clust,ils,0,5,0.3437,,,,20,
UNIFORM700,clust,ils,1,3,0.3729,,,,20,
UNIFORM700,clust,ils,2,6,0.2056,,,,20,
UNIFORM700,clust,ils,3,2,0.3423,,,,20,
UNIFORM700,clust,ils,4,2,0.3485,,,,20,
UNIFORM700,clust,ils,5,7,0.3108,,,,20,
UNIFORM700,clust,ils,6,5,0.3288,,,,20,
UNIFORM700,clust,ils,7,7,0.2958,,,,20,
UNIFORM700,clust,ils,8,5,0.3441,,,,20,
UNIFORM700,clust,ils,9,5,0.3048,,,,20,
UNIFORM700,clust,ils,10,2,0.3468,,,,20,
UNIFORM700,clust,ils,11,7,0.1905,,,,20,
UNIFORM700,clust,ils,12,2,0.3412,,,,20,
UNIFORM700,clust,ils,13,4,0.2874,,,,20,
UNIFORM700,clust,ils,14,5,0.2721,,,,20,
UNIFORM700,clust,ils,15,5,0.3624,,,,20,
UNIFORM700,clust,ils,16,6,0.3103,,,,20,
UNIFORM700,clust,ils,17,2,0.3439,,,,20,
UNIFORM700,clust,ils,18,5,0.274,,,,20,
UNIFORM700,clust,ils,19,5,0.3418989873931711,,-0.343014,58.87,20,0.0
