dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
UNIFORM700,clust,vns,0,5,0.3392,,,,20,
UNIFORM700,clust,vns,1,4,0.3235,,,,20,
UNIFORM700,clust,vns,2,7,0.3119,,,,20,
UNIFORM700,clust,vns,3,5,0.3034,,,,20,
UNIFORM700,clust,vns,4,5,0.3348,,,,20,
UNIFORM700,clust,vns,5,5,0.2574,,,,20,
UNIFORM700,clust,vns,6,4,0.3287,,,,20,
UNIFORM700,clust,vns,7,6,0.2658,,,,20,
UNIFORM700,clust,vns,8,2,0.3427,,,,20,
UNIFORM700,clust,vns,9,7,0.2424,,,,20,
UNIFORM700,clust,vns,10,3,0.3482,,,,20,
UNIFORM700,clust,vns,11,5,0.2031,,,,20,
UNIFORM700,clust,vns,12,5,0.3229,,,,20,
UNIFORM700,clust,vns,13,3,0.3532,,,,20,
UNIFORM700,clust,vns,14,3,0.3224,,,,20,
UNIFORM700,clust,vns,15,4,0.2513,,,,20,
UNIFORM700,clust,vns,16,5,0.3716,,,,20,
UNIFORM700,clust,vns,17,6,0.3056,,,,20,
UNIFORM700,clust,vns,18,4,0.2861,,,,20,
UNIFORM700,clust,vns,19,5,0.2471413190442321,,-0.370389,61.6,20,0.0
