dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
VOWEL2,clust,brkga,0,3,0.4088,,,,20,
VOWEL2,clust,brkga,1,4,0.3446,,,,20,
VOWEL2,clust,brkga,2,6,0.2606,,,,20,
VOWEL2,clust,brkga,3,4,0.3202,,,,20,
VOWEL2,clust,brkga,4,3,0.4106,,,,20,
VOWEL2,clust,brkga,5,2,0.3816,,,,20,
VOWEL2,clust,brkga,6,2,0.3922,,,,20,
VOWEL2,clust,brkga,7,4,0.3036,,,,20,
VOWEL2,clust,brkga,8,4,0.3597,,,,20,
VOWEL2,clust,brkga,9,5,0.2857,,,,20,
VOWEL2,clust,brkga,10,2,0.3816,,,,20,
VOWEL2,clust,brkga,11,2,0.3812,,,,20,
VOWEL2,clust,brkga,12,3,0.3927,,,,20,
VOWEL2,clust,brkga,13,2,0.3971,,,,20,
VOWEL2,clust,brkga,14,2,0.3765,,,,20,
VOWEL2,clust,brkga,15,3,0.3924,,,,20,
VOWEL2,clust,brkga,16,2,0.3759,,,,20,
VOWEL2,clust,brkga,17,3,0.4001,,,,20,
VOWEL2,clust,brkga,18,5,0.3036,,,,20,
VOWEL2,clust,brkga,19,2,0.3758258589188451,,-0.37597,41.54,20,0.0
