dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
VOWEL2,clust,ils,0,4,0.3639,,,,20,
VOWEL2,clust,ils,1,4,0.3355,,,,20,
VOWEL2,clust,ils,2,2,0.399,,,,20,
VOWEL2,clust,ils,3,2,0.3956,,,,20,
VOWEL2,clust,ils,4,2,0.4159,,,,20,
VOWEL2,clust,ils,5,5,0.328,,,,20,
VOWEL2,clust,ils,6,4,0.3696,,,,20,
VOWEL2,clust,ils,7,2,0.4092,,,,20,
VOWEL2,clust,ils,8,2,0.3795,,,,20,
VOWEL2,clust,ils,9,4,0.383,,,,20,
VOWEL2,clust,ils,10,2,0.4045,,,,20,
VOWEL2,clust,ils,11,4,0.3794,,,,20,
VOWEL2,clust,ils,12,4,0.3457,,,,20,
VOWEL2,clust,ils,13,2,0.4025,,,,20,
VOWEL2,clust,ils,14,4,0.3344,,,,20,
VOWEL2,clust,ils,15,13,0.3443,,,,20,
VOWEL2,clust,ils,16,3,0.4357059971640042,,-0.433136,61.62,20,0.0
VOWEL2,clust,ils,17,2,0.39764831598539596,,-0.402271,59.46,20,0.0
VOWEL2,clust,ils,18,2,0.4058499798999777,,-0.410818,53.83,20,0.0
VOWEL2,clust,ils,19,4,0.3426024147675734,,-0.415164,58.25,20,0.0
