dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
VOWEL2,clust,vns,0,2,0.3973,,,,20,
VOWEL2,clust,vns,1,3,0.4215,,,,20,
VOWEL2,clust,vns,2,2,0.3971,,,,20,
VOWEL2,clust,vns,3,8,0.2056,,,,20,
VOWEL2,clust,vns,4,6,0.2742,,,,20,
VOWEL2,clust,vns,5,3,0.4328,,,,20,
VOWEL2,clust,vns,6,5,0.2309,,,,20,
VOWEL2,clust,vns,7,3,0.4327,,,,20,
VOWEL2,clust,vns,8,7,0.2281,,,,20,
VOWEL2,clust,vns,9,5,0.3251,,,,20,
VOWEL2,clust,vns,10,4,0.3779,,,,20,
VOWEL2,clust,vns,11,5,0.345,,,,20,
VOWEL2,clust,vns,12,7,0.3498,,,,20,
VOWEL2,clust,vns,13,3,0.3982,,,,20,
VOWEL2,clust,vns,14,5,0.3274,,,,20,
VOWEL2,clust,vns,15,3,0.4244,,,,20,
VOWEL2,clust,vns,16,4,0.3663,,,,20,
VOWEL2,clust,vns,17,4,0.38373610420450344,,-0.385599,61.92,20,0.0
VOWEL2,clust,vns,18,7,0.3506791833839261,,-0.350993,61.69,20,0.0
VOWEL2,clust,vns,19,3,0.4271834061673593,,-0.423397,59.79,20,0.0
