dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
WAVEFORM21,clust,brkga,0,15,0.1866,,,,20,
WAVEFORM21,clust,brkga,1,17,0.1544,,,,20,
WAVEFORM21,clust,brkga,2,13,0.1768,,,,20,
WAVEFORM21,clust,brkga,3,21,0.145,,,,20,
WAVEFORM21,clust,brkga,4,7,0.2251,,,,20,
WAVEFORM21,clust,brkga,5,14,0.1728,,,,20,
WAVEFORM21,clust,brkga,6,17,0.1727,,,,20,
WAVEFORM21,clust,brkga,7,10,0.1685,,,,20,
WAVEFORM21,clust,brkga,8,9,0.2179,,,,20,
WAVEFORM21,clust,brkga,9,10,0.2348,,,,20,
WAVEFORM21,clust,brkga,10,14,0.2281,,,,20,
WAVEFORM21,clust,brkga,11,21,0.1696,,,,20,
WAVEFORM21,clust,brkga,12,14,0.23065952638623077,,-0.220374,22.85,20,0.0
WAVEFORM21,clust,brkga,13,8,0.3094963424399816,,-0.301357,30.34,20,0.0
WAVEFORM21,clust,brkga,14,17,0.15040584841415544,,-0.167862,14.88,20,0.0
WAVEFORM21,clust,brkga,15,13,0.2135363491096293,,-0.23333,53.36,20,0.0
WAVEFORM21,clust,brkga,16,5,0.33201211448600126,,-0.337092,65.15,20,0.0
WAVEFORM21,clust,brkga,17,3,0.2766352580804507,,-0.263788,63.66,20,0.0
WAVEFORM21,clust,brkga,18,11,0.25668295683203607,,-0.258485,65.02,20,0.0
WAVEFORM21,clust,brkga,19,5,0.19032857358629574,,-0.181696,67.53,20,0.0
