dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
WAVEFORM21,clust,ils,0,13,0.1646,,,,20,
WAVEFORM21,clust,ils,1,10,0.2878,,,,20,
WAVEFORM21,clust,ils,2,8,0.3268,,,,20,
WAVEFORM21,clust,ils,3,16,0.2463,,,,20,
WAVEFORM21,clust,ils,4,7,0.2251,,,,20,
WAVEFORM21,clust,ils,5,12,0.2498,,,,20,
WAVEFORM21,clust,ils,6,22,0.1291,,,,20,
WAVEFORM21,clust,ils,7,10,0.1685,,,,20,
WAVEFORM21,clust,ils,8,8,0.3213,,,,20,
WAVEFORM21,clust,ils,9,18,0.0926,,,,20,
WAVEFORM21,clust,ils,10,14,0.2281,,,,20,
WAVEFORM21,clust,ils,11,22,0.1148,,,,20,
WAVEFORM21,clust,ils,12,11,0.22064685265494774,,-0.217671,8.09,20,0.0
WAVEFORM21,clust,ils,13,13,0.18621342367355048,,-0.1955,60.52,20,0.0
WAVEFORM21,clust,ils,14,7,0.24643971360386957,,-0.256174,38.68,20,0.0
WAVEFORM21,clust,ils,15,10,0.24786896227039618,,-0.261217,59.67,20,0.0
WAVEFORM21,clust,ils,16,10,0.24038909145097706,,-0.209411,71.19,20,0.0
WAVEFORM21,clust,ils,17,14,0.18262575600892317,,-0.175215,65.92,20,0.0
WAVEFORM21,clust,ils,18,16,0.15814472210127703,,-0.178839,62.06,20,0.0
WAVEFORM21,clust,ils,19,26,0.2214114713947962,,-0.222777,71.04,20,0.0
