dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
WAVEFORM21,clust,vns,0,18,0.0901,,,,20,
WAVEFORM21,clust,vns,1,23,0.2172,,,,20,
WAVEFORM21,clust,vns,2,25,0.1967,,,,20,
WAVEFORM21,clust,vns,3,12,0.2319,,,,20,
WAVEFORM21,clust,vns,4,7,0.2251,,,,20,
WAVEFORM21,clust,vns,5,13,0.154,,,,20,
WAVEFORM21,clust,vns,6,18,0.1466,,,,20,
WAVEFORM21,clust,vns,7,9,0.3058,,,,20,
WAVEFORM21,clust,vns,8,8,0.2662,,,,20,
WAVEFORM21,clust,vns,9,18,0.0926,,,,20,
WAVEFORM21,clust,vns,10,6,0.3377,,,,20,
WAVEFORM21,clust,vns,11,22,0.1148,,,,20,
WAVEFORM21,clust,vns,12,11,0.22064685265494774,,-0.217671,7.59,20,0.0
WAVEFORM21,clust,vns,13,17,0.14200892585720004,,-0.161472,4.59,20,0.0
WAVEFORM21,clust,vns,14,14,0.24174883832570387,,-0.249631,56.86,20,0.0
WAVEFORM21,clust,vns,15,11,0.2605075253393341,,-0.257628,61.7,20,0.0
WAVEFORM21,clust,vns,16,16,0.2619707111434802,,-0.263113,70.92,20,0.0
WAVEFORM21,clust,vns,17,19,0.24813502972252408,,-0.254153,70.16,20,0.0
WAVEFORM21,clust,vns,18,7,0.31813022462360063,,-0.312483,70.99,20,0.0
WAVEFORM21,clust,vns,19,10,0.24216126643442018,,-0.24202,66.74,20,0.0
