dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
WDBC,classf,ils,0,2,0.5642007571198326,0.0005998971318440975,-0.619474,59.39,20,0
WDBC,classf,ils,1,2,0.5541418611775549,0.03572559534968976,-0.553765,59.67,20,0
WDBC,classf,ils,2,3,0.4052040685107465,0.12725427939084888,-0.494026,55.19,20,0
WDBC,classf,ils,3,2,0.5899973285242223,0.00207570873311397,-0.637941,62.17,20,0
WDBC,classf,ils,4,2,0.5774185407146648,0.0020398083166256326,-0.625888,35.04,20,0
WDBC,classf,ils,5,2,0.5810583283123246,0.001784568588170644,-0.635128,40.73,20,0
WDBC,classf,ils,6,2,0.5473958977134014,0.0805302695987788,-0.52853,60.99,20,0
WDBC,classf,ils,7,2,0.5723927243335115,0.0017552591497656958,-0.619514,18.84,20,0
WDBC,classf,ils,8,2,0.5953156161832796,0.00239751680086246,-0.644544,54.25,20,0
WDBC,classf,ils,9,2,0.5799747553525944,0.0019806032761748387,-0.623863,26.12,20,0
WDBC,classf,ils,10,2,0.5862864759354459,0.0031679936811673387,-0.614497,54.57,20,0
WDBC,classf,ils,11,2,0.5877870888777634,0.0021375294216487723,-0.642866,49.65,20,0
WDBC,classf,ils,12,2,0.6305323537385917,0.01563583401274529,-0.607486,39.89,20,0
WDBC,classf,ils,13,2,0.5510331461764492,0.05277916027709813,-0.538983,32.49,20,0
WDBC,classf,ils,14,2,0.5826532202111875,0.002858219310509497,-0.609672,30.23,20,0
WDBC,classf,ils,15,2,0.5744068755817505,0.0019806032761748387,-0.628839,61.13,20,0
WDBC,classf,ils,16,2,0.48447927772638677,-0.004476972487344376,-0.547261,0.89,20,0
WDBC,classf,ils,17,2,0.5938827811887045,0.0024279061672515144,-0.642306,45.87,20,0
WDBC,classf,ils,18,2,0.5693477405503012,0.0015722995469264719,-0.625187,44.11,20,0
WDBC,classf,ils,19,2,0.579605489163047,0.0018951692378986098,-0.626075,31.24,20,0
