dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
WDBC,classf,vns,0,2,0.57582475642739,0.0019251813904172697,-0.632248,41.47,20,0
WDBC,classf,vns,1,2,0.6065061332447551,0.01836231240712235,-0.617357,52.87,20,0
WDBC,classf,vns,2,2,0.5723927243335115,0.0017552591497656958,-0.619514,56.5,20,0
WDBC,classf,vns,3,2,0.57753167158238,0.0019225658745040315,-0.620615,35.05,20,0
WDBC,classf,vns,4,2,0.574208771189933,0.002011751991891906,-0.627242,57.69,20,0
WDBC,classf,vns,5,2,0.5810962514570722,0.0020151138464211734,-0.637044,41.91,20,0
WDBC,classf,vns,6,2,0.5960397636473426,0.014010602958597577,-0.609557,56.44,20,0
WDBC,classf,vns,7,2,0.5932023710915121,0.016575333254235335,-0.608242,56.24,20,0
WDBC,classf,vns,8,2,0.625929002567268,0.014458845997307,-0.603391,35.46,20,0
WDBC,classf,vns,9,2,0.5586389262780097,0.03476528281640942,-0.555864,35.21,20,0
WDBC,classf,vns,10,2,0.5754053403485008,0.0019806032761748387,-0.62525,61.75,20,0
WDBC,classf,vns,11,2,0.5523277639053983,0.0016227115106233084,-0.598822,22.66,20,0
WDBC,classf,vns,12,2,0.5905099091614323,0.015572826935295181,-0.610013,40.22,20,0
WDBC,classf,vns,13,3,0.5333430339781846,0.020147493006533037,-0.606578,60.59,20,0
WDBC,classf,vns,14,3,0.5002315683304639,0.5296243159963705,-0.464198,35.92,20,0
WDBC,classf,vns,15,2,0.5895991936143329,0.0024207473000906333,-0.625661,62.81,20,0
WDBC,classf,vns,16,2,0.5597987491732165,0.0004093124883607379,-0.617482,57.41,20,0
WDBC,classf,vns,17,2,0.5666773250099403,0.0004093124883607379,-0.618939,57.05,20,0
WDBC,classf,vns,18,2,0.6469812887369252,0.017532448751916646,-0.623342,35.28,20,0
WDBC,classf,vns,19,2,0.5656634963190388,0.0015473485773693,-0.620061,29.71,20,0
