dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
WINE,classf,ils,0,4,0.5291796820827541,0.006383605652725669,-0.614212,63.52,20,0
WINE,classf,ils,1,4,0.513152008651201,0.006161852449461418,-0.601294,11.64,20,0
WINE,classf,ils,2,4,0.4481450468070139,0.006734387966100533,-0.613504,58.85,20,0
WINE,classf,ils,3,3,0.13822710325505225,0.0012888859458964614,-0.624751,18.74,20,0
WINE,classf,ils,4,2,0.5347038055493345,0.000761887782519987,-0.634646,39.52,20,0
WINE,classf,ils,5,3,0.6125868914824751,0.006588683050220167,-0.633916,58.85,20,0
WINE,classf,ils,6,3,0.6120122915057533,0.007720511170272025,-0.616133,17.19,20,0
WINE,classf,ils,7,3,0.5996028600001773,0.007578791192719926,-0.618616,46.65,20,0
WINE,classf,ils,8,3,0.12959884227695467,0.00047712151402032603,-0.631147,57.66,20,0
WINE,classf,ils,9,3,0.6012040064380241,0.00592386502795126,-0.614021,40.21,20,0
WINE,classf,ils,10,3,0.6079490989653893,0.006051344751185759,-0.62051,35.57,20,0
WINE,classf,ils,11,3,0.6046362480316203,0.007501787209041865,-0.613745,53.25,20,0
WINE,classf,ils,12,1,,0.0,-0.610526,40.8,20,0
WINE,classf,ils,13,3,0.5891965194822301,0.006533470854999848,-0.588906,51.05,20,0
WINE,classf,ils,14,3,0.5876969246295454,0.006947494631610099,-0.608318,58.8,20,0
WINE,classf,ils,15,3,0.6328220426957567,0.006568641926903294,-0.647855,58.58,20,0
WINE,classf,ils,16,3,0.612151233043487,0.006945164001427601,-0.616389,59.97,20,0
WINE,classf,ils,17,2,0.41038827987377735,0.006731906739816726,-0.613172,21.35,20,0
WINE,classf,ils,18,2,0.41786266812169987,0.006606602757984313,-0.620863,53.24,20,0
WINE,classf,ils,19,2,0.4027546009303904,0.006673366160891764,-0.604717,58.2,20,0
