dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
WINE,classf,vns,0,3,0.6003366220166827,0.007819347135315903,-0.620256,37.31,20,0
WINE,classf,vns,1,2,0.4167146742766254,0.006644549599284577,-0.614097,32.77,20,0
WINE,classf,vns,2,4,0.5256174942202859,0.007871880449224402,-0.634474,22.03,20,0
WINE,classf,vns,3,2,0.454118995767641,0.007889243396796747,-0.634429,18.94,20,0
WINE,classf,vns,4,3,0.6499512352546314,0.0068610695553081745,-0.660967,41.07,20,0
WINE,classf,vns,5,3,0.6057608295912471,0.006573422154639459,-0.61759,57.05,20,0
WINE,classf,vns,6,3,0.6168894089389304,0.007445099231226006,-0.623924,49.6,20,0
WINE,classf,vns,7,3,0.6415785105369405,0.007249472971481442,-0.652625,50.14,20,0
WINE,classf,vns,8,3,0.6093240880231768,0.0059347085675778895,-0.623322,15.45,20,0
WINE,classf,vns,9,5,0.41032345838262335,0.006711337529981192,-0.612476,53.64,20,0
WINE,classf,vns,10,3,0.5948724909096843,0.007663781603281778,-0.607307,38.13,20,0
WINE,classf,vns,11,3,0.6190766708812574,0.005500601133397152,-0.634437,30.83,20,0
WINE,classf,vns,12,3,0.584979219240842,0.005533683044951738,-0.586828,61.96,20,0
WINE,classf,vns,13,1,,0.0,-0.642678,48.5,20,0
WINE,classf,vns,14,2,0.41197966295618216,0.0070265025545039,-0.584129,61.71,20,0
WINE,classf,vns,15,2,0.5381205688765076,0.00014659861436822183,-0.63759,42.92,20,0
WINE,classf,vns,16,3,0.6083818721819302,0.00592949495826872,-0.622177,25.66,20,0
WINE,classf,vns,17,4,0.5142972501793096,0.007256318584426998,-0.601967,45.74,20,0
WINE,classf,vns,18,3,0.6016581554763869,0.007771384584630578,-0.620896,49.26,20,0
WINE,classf,vns,19,4,0.4728769895433583,0.006588675357557423,-0.612968,55.42,20,0
