dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
YEAST,classf,ils,0,2,0.4974,0.1046,,,20,
YEAST,classf,ils,1,3,0.345,0.0487,,,20,
YEAST,classf,ils,2,2,0.6237,-0.001,,,20,
YEAST,classf,ils,3,2,0.6022,-0.0016,,,20,
YEAST,classf,ils,4,2,0.5225,0.0336,,,20,
YEAST,classf,ils,5,2,0.6197,-0.0013,,,20,
YEAST,classf,ils,6,2,0.5204,-0.0014,,,20,
YEAST,classf,ils,7,2,0.5529,0.0071,,,20,
YEAST,classf,ils,8,3,0.3562,0.11,,,20,
YEAST,classf,ils,9,2,0.6358,-0.0011,,,20,
YEAST,classf,ils,10,2,0.6648,-0.0009,,,20,
YEAST,classf,ils,11,2,0.5186,0.0474,,,20,
YEAST,classf,ils,12,2,0.6358,-0.0011,,,20,
YEAST,classf,ils,13,2,0.6283,-0.0011,,,20,
YEAST,classf,ils,14,2,0.6134,0.0069,,,20,
YEAST,classf,ils,15,2,0.6804,-0.0007,,,20,
YEAST,classf,ils,16,4,0.2395,0.1296,,,20,
YEAST,classf,ils,17,2,0.5173,0.0683,,,20,
YEAST,classf,ils,18,2,0.5078,0.0609,,,20,
YEAST,classf,ils,19,3,0.47800720467166175,0.06151405595471537,-0.457713,41.21,20,0.0
