dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
YEAST,classf,vns,0,6,0.23383547927458143,0.1251050092469883,-0.365191,13.37,20,0
YEAST,classf,vns,1,2,0.662279497477922,-0.0009291029409585047,-0.709065,25.31,20,0
YEAST,classf,vns,2,3,0.30904124206527195,0.13286001240281686,-0.36927,63.38,20,0
YEAST,classf,vns,3,3,0.3744760336956809,0.09475685901914147,-0.417673,54.47,20,0
YEAST,classf,vns,4,2,0.6634214762129723,-0.000928576696065707,-0.711191,38.88,20,0
YEAST,classf,vns,5,2,0.5850056310234397,0.012323361053702504,-0.574476,43.78,20,0
YEAST,classf,vns,6,2,0.5131516108822975,-0.0006684179000649718,-0.57743,62.56,20,0
YEAST,classf,vns,7,2,0.5439982867360805,0.01688471895375285,-0.477089,27.99,20,0
YEAST,classf,vns,8,2,0.6640604869842341,-0.0009417768219725051,-0.713781,52.33,20,0
YEAST,classf,vns,9,3,0.44507724253972125,0.0661777419944638,-0.412178,61.96,20,0
YEAST,classf,vns,10,3,0.42121581053791635,0.005621110734409998,-0.548488,39.26,20,0
YEAST,classf,vns,11,2,0.624797513055795,-0.0010401354096365913,-0.681271,60.81,20,0
YEAST,classf,vns,12,2,0.6186208327876316,-0.001309455067298346,-0.642493,58.99,20,0
YEAST,classf,vns,13,4,0.35876653815918014,0.08829559407933295,-0.404821,51.38,20,0
YEAST,classf,vns,14,2,0.5312676163360683,0.00790458504959997,-0.492357,40.36,20,0
YEAST,classf,vns,15,2,0.662279497477922,-0.0009291029409585047,-0.709065,31.71,20,0
YEAST,classf,vns,16,2,0.6259140600401844,-0.0010429356255905217,-0.682738,55.5,20,0
YEAST,classf,vns,17,3,0.32235563421662394,0.11298095554189125,-0.360086,56.44,20,0
YEAST,classf,vns,18,2,0.6799662544907547,-0.0007169050525143127,-0.732265,62.57,20,0
YEAST,classf,vns,19,3,0.3441209573742914,0.09993035387156715,-0.371772,62.93,20,0
