dataset_id,group,msi_brkga,msi_vns,msi_ils,ari_brkga,ari_vns,ari_ils,k_brkga,k_vns,k_ils
2-FACE,clust,0.5446804009027053,0.534503176122731,0.5276891761160731,,,,2.0,2.0,2.0
200DATA,clust,0.8052706067344885,0.8105583003921208,0.8104512829257844,,,,3.0,3.0,3.0
400P3C,clust,0.8232737828064585,0.8231090872234919,0.8261131653880335,,,,3.0,3.0,3.0
A1,clust,0.326626721747778,0.39296254408696174,0.3899665168497092,,,,11.0,16.0,13.0
AGGREGATION,classf,0.43715000000000004,0.40854999999999997,0.40733766311643416,0.65205,0.6253,0.7219311229612335,4.0,6.0,5.0
BANKNOTE,clust,0.33981309376990587,0.3319905484629314,0.3298401007974892,,,,3.0,6.5,7.0
BREASTB,clust,0.729456781661112,0.7285012149483706,0.7382573835904362,,,,1.0,1.0,1.0
BROKEN-RING,clust,0.43236851051239245,0.44477715015749586,0.459739471434025,,,,6.0,6.0,6.0
BUPA,clust,0.7122465530737991,0.7199830641858617,0.7209011238600267,,,,2.0,2.0,2.0
CHART,clust,0.3879224348616639,0.3717945699821643,0.4040485276890199,,,,3.0,4.0,3.5
COMPOUND,classf,0.608723204215488,0.5480540948401509,0.615749799685168,0.722556368343227,0.7290262386963569,0.7382003439755176,3.0,3.0,3.0
CONCRETEDATA,clust,0.3809,0.36895,0.35315,,,,3.0,3.0,3.0
DBLCA,clust,0.5100122131543136,0.5075471812641829,0.504867210839182,,,,3.0,3.0,3.0
DOWJONES,clust,0.6349489035246159,0.6329442617030412,0.6226149165888368,,,,2.0,2.0,2.0
ECOLI,classf,0.3611895900073235,0.4254352461902393,0.40897627910404727,0.0301656421762831,0.6163842525743656,0.5383070965230354,2.0,3.0,3.0
FACE,clust,0.5458864979383649,0.5505854973250809,0.544541589632493,,,,4.0,5.0,4.0
FLAME,classf,0.40417723844769904,0.4223766489406036,0.41858614590452325,0.5992535565651813,0.42669369803687757,0.6194900591470035,3.0,3.0,3.0
FORESTFIRES,clust,0.5058128771183832,0.5543400172598241,0.5296227034043078,,,,2.0,2.0,2.0
GAMMA400,clust,0.5893219201453146,0.5873464797327643,0.5917260465974036,,,,2.0,2.0,2.0
GAUSS9,clust,0.31675,0.3228101308216624,0.32918341397463946,,,,4.5,6.5,5.5
GLASS,classf,0.6496982025924511,0.6549673972198437,0.6434133494316367,0.1856307626895064,0.18711456480560565,0.1960794525485015,2.5,3.0,3.0
HABERMAN,classf,0.5936867825276779,0.5893078880526343,0.5818968618163332,0.0367307347667924,0.035992676079629096,0.0355192012539689,2.0,2.0,2.0
HAYES-ROTH,clust,0.45033708918069737,0.4883496212102511,0.4341791086917128,,,,2.0,2.0,2.0
INDIAN,clust,0.7067716903220174,0.7594267403073225,0.7607027869023097,,,,2.0,2.0,2.0
IONOSPHERE,classf,0.5483413084938709,0.564858213200909,0.5611254042001955,0.13921145633323523,0.13917964026471785,0.14002864350275054,3.0,3.0,3.0
IRIS,classf,0.5552687286188432,0.632506899650526,0.6096188829172617,0.5273807523010332,0.6271414714264989,0.5987836224867911,3.0,2.0,2.0
JAIN,classf,0.4959746509386066,0.49604663199408905,0.49778853346591784,0.30165749265917946,0.3165491826112249,0.3273132391864353,3.0,4.0,4.0
MARONNA,clust,0.5672237337701138,0.524155812096302,0.6335044272604042,,,,4.0,3.0,4.0
NEW-THYROID,classf,0.8205502724982097,0.8344591721950436,0.8354551992963032,0.0020450142456164,0.002812716695609,0.0045487529840013,3.0,3.0,3.0
